hit_id	protein_id	qc	per_ident	sbjct_start	sbjct_end	sbjct_len	query_len	gene_id	locus_tag	org_name	gene_location	gene_len	cds_location
ref|XP_031555922.1|	XP_031555922.1	1.0	0.58	1	696	696	699	NW_022259381	LOC116292710	Actinia_tenebrosa	{'start': 16092, 'end': 33206, 'strand': 1}	17115	[{'start': 99, 'end': 183, 'strand': 1}, {'start': 794, 'end': 1022, 'strand': 1}, {'start': 1561, 'end': 1693, 'strand': 1}, {'start': 1943, 'end': 2026, 'strand': 1}, {'start': 3306, 'end': 3410, 'strand': 1}, {'start': 4086, 'end': 4208, 'strand': 1}, {'start': 4274, 'end': 4343, 'strand': 1}, {'start': 4435, 'end': 4523, 'strand': 1}, {'start': 5749, 'end': 5856, 'strand': 1}, {'start': 6443, 'end': 6558, 'strand': 1}, {'start': 6732, 'end': 6768, 'strand': 1}, {'start': 6863, 'end': 6931, 'strand': 1}, {'start': 8210, 'end': 8265, 'strand': 1}, {'start': 9861, 'end': 9921, 'strand': 1}, {'start': 10485, 'end': 10540, 'strand': 1}, {'start': 11331, 'end': 11392, 'strand': 1}, {'start': 12382, 'end': 12497, 'strand': 1}, {'start': 13191, 'end': 13233, 'strand': 1}, {'start': 13318, 'end': 13381, 'strand': 1}, {'start': 13624, 'end': 13681, 'strand': 1}, {'start': 14381, 'end': 14545, 'strand': 1}, {'start': 15091, 'end': 15152, 'strand': 1}, {'start': 15660, 'end': 15720, 'strand': 1}, {'start': 16397, 'end': 16438, 'strand': 1}]
ref|XP_058954564.2|	XP_058954564.2	0.99	0.52	5	665	661	699	NC_089318	LOC131781869	Pocillopora_verrucosa	{'start': 6642401, 'end': 6659746, 'strand': 2}	17346	[{'start': 51, 'end': 135, 'strand': 1}, {'start': 1230, 'end': 1419, 'strand': 1}, {'start': 2146, 'end': 2284, 'strand': 1}, {'start': 2970, 'end': 3053, 'strand': 1}, {'start': 3613, 'end': 3720, 'strand': 1}, {'start': 5259, 'end': 5387, 'strand': 1}, {'start': 6004, 'end': 6073, 'strand': 1}, {'start': 6927, 'end': 7015, 'strand': 1}, {'start': 7436, 'end': 7543, 'strand': 1}, {'start': 8168, 'end': 8283, 'strand': 1}, {'start': 8674, 'end': 8710, 'strand': 1}, {'start': 9172, 'end': 9240, 'strand': 1}, {'start': 9507, 'end': 9562, 'strand': 1}, {'start': 11375, 'end': 11435, 'strand': 1}, {'start': 11863, 'end': 11921, 'strand': 1}, {'start': 12089, 'end': 12150, 'strand': 1}, {'start': 12694, 'end': 12809, 'strand': 1}, {'start': 13052, 'end': 13094, 'strand': 1}, {'start': 13847, 'end': 13910, 'strand': 1}, {'start': 14413, 'end': 14470, 'strand': 1}, {'start': 14660, 'end': 14752, 'strand': 1}, {'start': 15378, 'end': 15439, 'strand': 1}, {'start': 15909, 'end': 15969, 'strand': 1}, {'start': 16898, 'end': 16936, 'strand': 1}]
ref|XP_020894941.1|	XP_020894941.1	1.0	0.52	1	686	686	699	NW_018384854	LOC110233946	Exaiptasia_diaphana	{'start': 59688, 'end': 68443, 'strand': 2}	8756	[{'start': 1, 'end': 247, 'strand': 1}, {'start': 419, 'end': 551, 'strand': 1}, {'start': 788, 'end': 871, 'strand': 1}, {'start': 1029, 'end': 1133, 'strand': 1}, {'start': 1410, 'end': 1508, 'strand': 1}, {'start': 1627, 'end': 1696, 'strand': 1}, {'start': 1774, 'end': 1862, 'strand': 1}, {'start': 2083, 'end': 2190, 'strand': 1}, {'start': 2284, 'end': 2396, 'strand': 1}, {'start': 2597, 'end': 2633, 'strand': 1}, {'start': 2706, 'end': 2774, 'strand': 1}, {'start': 2912, 'end': 2967, 'strand': 1}, {'start': 4161, 'end': 4221, 'strand': 1}, {'start': 4315, 'end': 4400, 'strand': 1}, {'start': 4610, 'end': 4671, 'strand': 1}, {'start': 4845, 'end': 4960, 'strand': 1}, {'start': 5198, 'end': 5240, 'strand': 1}, {'start': 5317, 'end': 5383, 'strand': 1}, {'start': 5653, 'end': 5710, 'strand': 1}, {'start': 5843, 'end': 5959, 'strand': 1}, {'start': 7249, 'end': 7310, 'strand': 1}, {'start': 7986, 'end': 8046, 'strand': 1}, {'start': 8504, 'end': 8545, 'strand': 1}]
ref|XP_073247758.1|	XP_073247758.1	0.99	0.51	5	660	656	699	NC_133207	LOC140942692	Porites_lutea	{'start': 11077652, 'end': 11150817, 'strand': 2}	73166	[{'start': 59, 'end': 149, 'strand': 1}, {'start': 8016, 'end': 8193, 'strand': 1}, {'start': 15185, 'end': 15320, 'strand': 1}, {'start': 25064, 'end': 25147, 'strand': 1}, {'start': 40385, 'end': 40492, 'strand': 1}, {'start': 40885, 'end': 41016, 'strand': 1}, {'start': 44809, 'end': 44878, 'strand': 1}, {'start': 47761, 'end': 47849, 'strand': 1}, {'start': 48056, 'end': 48163, 'strand': 1}, {'start': 51823, 'end': 51938, 'strand': 1}, {'start': 52650, 'end': 52686, 'strand': 1}, {'start': 53375, 'end': 53443, 'strand': 1}, {'start': 54492, 'end': 54547, 'strand': 1}, {'start': 55669, 'end': 55729, 'strand': 1}, {'start': 55976, 'end': 56034, 'strand': 1}, {'start': 57454, 'end': 57515, 'strand': 1}, {'start': 63141, 'end': 63256, 'strand': 1}, {'start': 64179, 'end': 64221, 'strand': 1}, {'start': 69227, 'end': 69290, 'strand': 1}, {'start': 69863, 'end': 69920, 'strand': 1}, {'start': 70489, 'end': 70572, 'strand': 1}, {'start': 70952, 'end': 71013, 'strand': 1}, {'start': 72293, 'end': 72353, 'strand': 1}, {'start': 72604, 'end': 72648, 'strand': 1}]
ref|XP_027046453.1|	XP_027046453.1	0.99	0.52	5	665	661	699	NW_020845685	LOC113674180	Pocillopora_damicornis	{'start': 163956, 'end': 181585, 'strand': 1}	17630	[{'start': 104, 'end': 188, 'strand': 1}, {'start': 1282, 'end': 1471, 'strand': 1}, {'start': 2248, 'end': 2386, 'strand': 1}, {'start': 3304, 'end': 3387, 'strand': 1}, {'start': 3947, 'end': 4054, 'strand': 1}, {'start': 5590, 'end': 5718, 'strand': 1}, {'start': 6354, 'end': 6423, 'strand': 1}, {'start': 7245, 'end': 7333, 'strand': 1}, {'start': 7752, 'end': 7859, 'strand': 1}, {'start': 8476, 'end': 8591, 'strand': 1}, {'start': 8984, 'end': 9020, 'strand': 1}, {'start': 9483, 'end': 9551, 'strand': 1}, {'start': 9822, 'end': 9877, 'strand': 1}, {'start': 11684, 'end': 11744, 'strand': 1}, {'start': 12214, 'end': 12272, 'strand': 1}, {'start': 12440, 'end': 12501, 'strand': 1}, {'start': 13045, 'end': 13160, 'strand': 1}, {'start': 13403, 'end': 13445, 'strand': 1}, {'start': 14198, 'end': 14261, 'strand': 1}, {'start': 14764, 'end': 14821, 'strand': 1}, {'start': 15011, 'end': 15103, 'strand': 1}, {'start': 15738, 'end': 15802, 'strand': 1}, {'start': 16272, 'end': 16332, 'strand': 1}, {'start': 17176, 'end': 17214, 'strand': 1}]
ref|XP_073247755.1|	XP_073247755.1	0.99	0.5	5	674	670	699	NC_133207	LOC140942692	Porites_lutea	{'start': 11077652, 'end': 11150817, 'strand': 2}	73166	[{'start': 59, 'end': 149, 'strand': 1}, {'start': 8016, 'end': 8193, 'strand': 1}, {'start': 15185, 'end': 15320, 'strand': 1}, {'start': 25064, 'end': 25147, 'strand': 1}, {'start': 40385, 'end': 40492, 'strand': 1}, {'start': 40885, 'end': 41016, 'strand': 1}, {'start': 44809, 'end': 44878, 'strand': 1}, {'start': 47761, 'end': 47849, 'strand': 1}, {'start': 48056, 'end': 48163, 'strand': 1}, {'start': 51823, 'end': 51938, 'strand': 1}, {'start': 52650, 'end': 52686, 'strand': 1}, {'start': 53375, 'end': 53443, 'strand': 1}, {'start': 54492, 'end': 54547, 'strand': 1}, {'start': 55669, 'end': 55729, 'strand': 1}, {'start': 55976, 'end': 56034, 'strand': 1}, {'start': 57454, 'end': 57515, 'strand': 1}, {'start': 63141, 'end': 63256, 'strand': 1}, {'start': 64179, 'end': 64221, 'strand': 1}, {'start': 69227, 'end': 69290, 'strand': 1}, {'start': 69863, 'end': 69920, 'strand': 1}, {'start': 70489, 'end': 70572, 'strand': 1}, {'start': 70952, 'end': 71013, 'strand': 1}, {'start': 72293, 'end': 72353, 'strand': 1}, {'start': 72604, 'end': 72648, 'strand': 1}]
emb|CAH3150435.1|	CAH3150435.1	0.99	0.51	24	679	656	699	CALNXK010000089.1	PLOB_00047595	Porites_lobata	{'start': 74539, 'end': 155049, 'strand': 1}	80511	[{'start': 74539, 'end': 74686, 'strand': 1}, {'start': 84590, 'end': 84767, 'strand': 1}, {'start': 92544, 'end': 92679, 'strand': 1}, {'start': 106690, 'end': 106773, 'strand': 1}, {'start': 126387, 'end': 126494, 'strand': 1}, {'start': 126870, 'end': 127001, 'strand': 1}, {'start': 132865, 'end': 132934, 'strand': 1}, {'start': 136426, 'end': 136514, 'strand': 1}, {'start': 136722, 'end': 136829, 'strand': 1}, {'start': 138879, 'end': 138994, 'strand': 1}, {'start': 139705, 'end': 139741, 'strand': 1}, {'start': 140551, 'end': 140619, 'strand': 1}, {'start': 143506, 'end': 143561, 'strand': 1}, {'start': 144679, 'end': 144739, 'strand': 1}, {'start': 144988, 'end': 145046, 'strand': 1}, {'start': 146483, 'end': 146544, 'strand': 1}, {'start': 148834, 'end': 148949, 'strand': 1}, {'start': 149874, 'end': 149916, 'strand': 1}, {'start': 151194, 'end': 151257, 'strand': 1}, {'start': 151854, 'end': 151911, 'strand': 1}, {'start': 152479, 'end': 152562, 'strand': 1}, {'start': 152941, 'end': 153002, 'strand': 1}, {'start': 154299, 'end': 154359, 'strand': 1}, {'start': 155005, 'end': 155049, 'strand': 1}]
ref|XP_073247757.1|	XP_073247757.1	0.99	0.5	5	672	668	699	NC_133207	LOC140942692	Porites_lutea	{'start': 11077652, 'end': 11150817, 'strand': 2}	73166	[{'start': 59, 'end': 149, 'strand': 1}, {'start': 8016, 'end': 8193, 'strand': 1}, {'start': 15185, 'end': 15320, 'strand': 1}, {'start': 25064, 'end': 25147, 'strand': 1}, {'start': 40385, 'end': 40492, 'strand': 1}, {'start': 40885, 'end': 41016, 'strand': 1}, {'start': 44809, 'end': 44878, 'strand': 1}, {'start': 47761, 'end': 47849, 'strand': 1}, {'start': 48056, 'end': 48163, 'strand': 1}, {'start': 51823, 'end': 51938, 'strand': 1}, {'start': 52650, 'end': 52686, 'strand': 1}, {'start': 53375, 'end': 53443, 'strand': 1}, {'start': 54492, 'end': 54547, 'strand': 1}, {'start': 55669, 'end': 55729, 'strand': 1}, {'start': 55976, 'end': 56034, 'strand': 1}, {'start': 57454, 'end': 57515, 'strand': 1}, {'start': 63141, 'end': 63256, 'strand': 1}, {'start': 64179, 'end': 64221, 'strand': 1}, {'start': 69227, 'end': 69290, 'strand': 1}, {'start': 69863, 'end': 69920, 'strand': 1}, {'start': 70489, 'end': 70572, 'strand': 1}, {'start': 70952, 'end': 71013, 'strand': 1}, {'start': 72293, 'end': 72353, 'strand': 1}, {'start': 72604, 'end': 72648, 'strand': 1}]
ref|XP_027046452.1|	XP_027046452.1	0.99	0.52	5	666	662	699	NW_020845685	LOC113674180	Pocillopora_damicornis	{'start': 163956, 'end': 181585, 'strand': 1}	17630	[{'start': 104, 'end': 188, 'strand': 1}, {'start': 1282, 'end': 1471, 'strand': 1}, {'start': 2248, 'end': 2386, 'strand': 1}, {'start': 3304, 'end': 3387, 'strand': 1}, {'start': 3947, 'end': 4054, 'strand': 1}, {'start': 5590, 'end': 5718, 'strand': 1}, {'start': 6354, 'end': 6423, 'strand': 1}, {'start': 7245, 'end': 7333, 'strand': 1}, {'start': 7752, 'end': 7859, 'strand': 1}, {'start': 8476, 'end': 8591, 'strand': 1}, {'start': 8984, 'end': 9020, 'strand': 1}, {'start': 9483, 'end': 9551, 'strand': 1}, {'start': 9822, 'end': 9877, 'strand': 1}, {'start': 11684, 'end': 11744, 'strand': 1}, {'start': 12214, 'end': 12272, 'strand': 1}, {'start': 12440, 'end': 12501, 'strand': 1}, {'start': 13045, 'end': 13160, 'strand': 1}, {'start': 13403, 'end': 13445, 'strand': 1}, {'start': 14198, 'end': 14261, 'strand': 1}, {'start': 14764, 'end': 14821, 'strand': 1}, {'start': 15011, 'end': 15103, 'strand': 1}, {'start': 15738, 'end': 15802, 'strand': 1}, {'start': 16272, 'end': 16332, 'strand': 1}, {'start': 17176, 'end': 17214, 'strand': 1}]
ref|XP_068703612.1|	XP_068703612.1	0.99	0.51	5	664	660	699	NC_090872	LOC138000846	Montipora_foliosa	{'start': 44891500, 'end': 44946586, 'strand': 2}	55087	[{'start': 62, 'end': 152, 'strand': 1}, {'start': 6226, 'end': 6412, 'strand': 1}, {'start': 7738, 'end': 7873, 'strand': 1}, {'start': 16174, 'end': 16257, 'strand': 1}, {'start': 20001, 'end': 20108, 'strand': 1}, {'start': 23863, 'end': 23997, 'strand': 1}, {'start': 24549, 'end': 24618, 'strand': 1}, {'start': 25587, 'end': 25675, 'strand': 1}, {'start': 26394, 'end': 26501, 'strand': 1}, {'start': 34025, 'end': 34140, 'strand': 1}, {'start': 35048, 'end': 35084, 'strand': 1}, {'start': 35167, 'end': 35235, 'strand': 1}, {'start': 36321, 'end': 36376, 'strand': 1}, {'start': 37580, 'end': 37640, 'strand': 1}, {'start': 38089, 'end': 38147, 'strand': 1}, {'start': 38613, 'end': 38674, 'strand': 1}, {'start': 40679, 'end': 40794, 'strand': 1}, {'start': 41413, 'end': 41455, 'strand': 1}, {'start': 42235, 'end': 42298, 'strand': 1}, {'start': 45065, 'end': 45122, 'strand': 1}, {'start': 50135, 'end': 50212, 'strand': 1}, {'start': 53822, 'end': 53883, 'strand': 1}, {'start': 54319, 'end': 54379, 'strand': 1}, {'start': 54766, 'end': 54810, 'strand': 1}]
