sub_phylum	org_name	org_name_protein_id	stop_codon_pos	equal_to_cds	cassette_intron_start	intron_length_to_stop_codon	intron_length	first_exon_length	source
Anthozoa	Actinia_tenebrosa	Actinia_tenebrosa__XP_031555922.1	1152	False	1142	10	173	116	psi_blast
Anthozoa	Pocillopora_verrucosa	Pocillopora_verrucosa__XP_058954564.2	1152	False	1118	34	390	116	psi_blast
Anthozoa	Pocillopora_damicornis	Pocillopora_damicornis__XP_027046453.1	1164	False	1118	46	392	116	psi_blast
Anthozoa	Montipora_foliosa	Montipora_foliosa__XP_068703613.1	1155	False	1124	31	907	116	psi_blast
Anthozoa	Pocillopora_meandrina	Pocillopora_meandrina__CAH3043836.1	1164	False	1118	46	392	116	psi_blast
Anthozoa	Acropora_digitifera	Acropora_digitifera__XP_015766188.1	1167	False	1127	40	670	116	psi_blast
Anthozoa	Porites_lutea	Porites_lutea__XP_073247759.1	1173	False	1112	61	711	116	psi_blast
Anthozoa	Acropora_millepora	Acropora_millepora__XP_029179301.2	1167	False	1127	40	682	116	psi_blast
Anthozoa	Porites_evermanni	Porites_evermanni__CAH3016304.1	1263	False	1202	61	711	116	psi_blast
Anthozoa	Acropora_muricata	Acropora_muricata__XP_067039573.1	1167	False	1127	40	679	116	psi_blast
Anthozoa	Exaiptasia_diaphana	Exaiptasia_diaphana__KXJ17476.1	2226	False	2150	76	227	86	psi_blast
Anthozoa	Dendronephthya_gigantea	Dendronephthya_gigantea__XP_028398660.1	1116	False	1106	10	328	116	psi_blast
Anthozoa	Xenia_sp._Carnegie-2017	Xenia_sp._Carnegie-2017__XP_046848887.1	1230	False	1127	103	116	116	psi_blast
