tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
7029	Acyrthosiphon pisum	100162037	0	live	LOC100162037		nuclear RNA export factor 1	nuclear RNA export factor 1		A3	NC_042496.1	20030383	20037558	plus	14		
7029	Acyrthosiphon pisum	100575301	0	live	LOC100575301		nuclear RNA export factor 1	nuclear RNA export factor 1		A3	NC_042496.1	20015402	20023198	plus	9		
7029	Acyrthosiphon pisum	103310653	0	live	LOC103310653		nuclear RNA export factor 1-like	nuclear RNA export factor 1-like		X	NC_042493.1	111953054	111956482	minus	8		
121845	Diaphorina citri	103517914	0	live	LOC103517914		nuclear RNA export factor 1-like	nuclear RNA export factor 1-like		Un	NW_007379432.1	29334	47939	plus	5		
103372	Acromyrmex echinatior	105148000	0	live	LOC105148000	G5I_08154	nuclear RNA export factor 1-like	nuclear RNA export factor 1-like|Nuclear RNA export factor 1		Un	NW_011627193.1	736930	742711	minus	10		
12957	Atta cephalotes	105623508	0	live	LOC105623508		nuclear RNA export factor 1-like	nuclear RNA export factor 1-like		Un	NW_012130122.1	478691	486386	plus	3		
222816	Orussus abietinus	105697774	0	live	LOC105697774		nuclear RNA export factor 1	nuclear RNA export factor 1		Un	NW_019394833.1	9931	12741	minus	10		
307658	Monomorium pharaonis	105834441	0	live	LOC105834441		nuclear RNA export factor 1	nuclear RNA export factor 1		4	NC_050470.1	21608967	21614250	plus	7		
307658	Monomorium pharaonis	105835460	0	live	LOC105835460		nuclear RNA export factor 1	nuclear RNA export factor 1		11	NC_050477.1	11436848	11450749	plus	12		
6850	Limulus polyphemus	106466474	0	live	LOC106466474		nuclear RNA export factor 1-like	nuclear RNA export factor 1-like		Un	NW_013667881.1	26836	78152	minus	24		
79782	Cimex lectularius	106662803	0	live	LOC106662803		nuclear RNA export factor 1-like	nuclear RNA export factor 1-like		Un	NW_019392632.1	1292564	1308188	plus	17		
143948	Diuraphis noxia	107168305	0	live	LOC107168305		nuclear RNA export factor 1-like	nuclear RNA export factor 1-like		Un	NW_015368779.1	7569	18733	plus	14		
143948	Diuraphis noxia	107168308	0	live	LOC107168308		nuclear RNA export factor 1-like	nuclear RNA export factor 1-like		Un	NW_015368779.1	25972	32486	plus	14		
211228	Cephus cinctus	107267151	0	live	LOC107267151		nuclear RNA export factor 1	nuclear RNA export factor 1		Un	NW_014333043.1	49745	52556	plus	10		
32264	Tetranychus urticae	107368479	0	live	LOC107368479		nuclear RNA export factor 1	nuclear RNA export factor 1		Un	NW_015449956.1	464842	468488	plus	11		
114398	Parasteatoda tepidariorum	107456009	0	live	LOC107456009		nuclear RNA export factor 1	nuclear RNA export factor 1		8	NC_092211.1	1280913	1322909	minus	25		
7029	Acyrthosiphon pisum	107883150	0	live	LOC107883150		nuclear RNA export factor 1-like	nuclear RNA export factor 1-like		A2	NC_042495.1	21581124	21589095	plus	3		
217634	Anoplophora glabripennis	108904921	0	live	LOC108904921	NXF1	nuclear RNA export factor 1	nuclear RNA export factor 1		Un	NW_019416348.1	99701	124436	minus	10		
116153	Aethina tumida	109609302	0	live	LOC109609302		nuclear RNA export factor 1	nuclear RNA export factor 1		1	NC_065435.1	72246447	72252173	plus	12		
13164	Myzus persicae	111037540	0	live	LOC111037540		nuclear RNA export factor 1-like	nuclear RNA export factor 1-like		Un	NW_019104011.1	530478	538094	plus	14		
13164	Myzus persicae	111037566	0	live	LOC111037566		nuclear RNA export factor 1-like	nuclear RNA export factor 1-like		Un	NW_019104011.1	510754	526117	plus	14		
109461	Varroa destructor	111250278	0	live	LOC111250278		nuclear RNA export factor 1-like	nuclear RNA export factor 1-like		Un	NW_019211457.1	28693892	28702434	minus	11		
62625	Varroa jacobsoni	111272486	0	live	LOC111272486		nuclear RNA export factor 1-like	nuclear RNA export factor 1-like		Un	NW_019213089.1	110531	120889	minus	11		
7539	Leptinotarsa decemlineata	111504183	0	live	LOC111504183		nuclear RNA export factor 1-like	nuclear RNA export factor 1-like		Un	NW_019289858.1	105953	139562	plus	9		
218467	Centruroides sculpturatus	111639068	0	live	LOC111639068		nuclear RNA export factor 1-like	nuclear RNA export factor 1-like		Un	NW_019385444.1	47508	71193	plus	22		
1294199	Eurytemora carolleeae	111709757	0	live	LOC111709757		nuclear RNA export factor 1-like	nuclear RNA export factor 1-like		Un	NW_019396885.1	224927	230945	plus	9		
105785	Cryptotermes secundus	111864076	0	live	LOC111864076	B7P43_G10726	nuclear RNA export factor 1	nuclear RNA export factor 1		Un	NW_019726235.1	52417	79073	minus	14		
742174	Melanaphis sacchari	112592104	0	live	LOC112592104	sbr_0	nuclear RNA export factor 1-like	nuclear RNA export factor 1-like|Nuclear RNA export factor 1		Un	NW_020270704.1	9325	14521	plus	14		
742174	Melanaphis sacchari	112599829	0	live	LOC112599829	Nxf1_0	nuclear RNA export factor 1-like	nuclear RNA export factor 1-like|Nuclear RNA export factor 1		Un	NW_020271389.1	978255	984224	minus	13		
742174	Melanaphis sacchari	112601269	0	live	LOC112601269		nuclear RNA export factor 1-like	nuclear RNA export factor 1-like		Un	NW_020270366.1	18770996	18772977	minus	2		
742174	Melanaphis sacchari	112602386	0	live	LOC112602386	NXF1_6	nuclear RNA export factor 1-like	nuclear RNA export factor 1-like|Nuclear RNA export factor 1		Un	NW_020271618.1	358729	383222	plus	15		
143950	Sipha flava	112686431	0	live	LOC112686431	NXF1	nuclear RNA export factor 1-like	nuclear RNA export factor 1-like|Nuclear RNA export factor 1		Un	NW_020272985.1	143117	149705	minus	14		
143950	Sipha flava	112686433	0	live	LOC112686433	sbr	nuclear RNA export factor 1-like	nuclear RNA export factor 1-like|Nuclear RNA export factor 1		Un	NW_020272985.1	191400	203863	minus	15		
143950	Sipha flava	112694011	0	live	LOC112694011		nuclear RNA export factor 1-like	nuclear RNA export factor 1-like		Un	NW_020271747.1	1200833	1209333	plus	15		
7515	Ctenocephalides felis	113378526	0	live	LOC113378526		nuclear RNA export factor 1-like	nuclear RNA export factor 1-like		Un	NW_020538040.1	56067749	56119021	minus	2		
43146	Rhopalosiphum maidis	113551533	0	live	LOC113551533		nuclear RNA export factor 1-like	nuclear RNA export factor 1-like		2	NC_040878.1	7526748	7532514	plus	15		
486640	Odontomachus brunneus	116850058	0	live	LOC116850058		nuclear RNA export factor 1-like	nuclear RNA export factor 1-like		Un	NW_022639455.1	2568099	2573031	plus	10		
115081	Megalopta genalis	117229174	0	live	LOC117229174		nuclear RNA export factor 1-like	nuclear RNA export factor 1-like		Un	NW_022900912.1	426827	434757	plus	17		
161013	Thrips palmi	117641971	0	live	LOC117641971		nuclear RNA export factor 1-like	nuclear RNA export factor 1-like		Un	NW_023144625.1	11524703	11532524	minus	13		
198719	Drosophila innubila	117792204	0	live	LOC117792204		nuclear RNA export factor 1-like	nuclear RNA export factor 1-like		3R	NW_022995380.1	2446592	2451315	minus	3		
7446	Vespa mandarinia	118440838	0	live	LOC118440838		nuclear RNA export factor 1-like	nuclear RNA export factor 1-like		Un	NW_023395839.1	2272556	2278118	minus	10		
41117	Pollicipes pollicipes	119094343	0	live	LOC119094343		nuclear RNA export factor 1-like	nuclear RNA export factor 1-like		Un	NW_023596420.1	28951189	28965644	plus	16		
72036	Lepeophtheirus salmonis	121117250	0	live	LOC121117250		nuclear RNA export factor 1	nuclear RNA export factor 1|nuclear RNA export factor 1like		5	NC_052135.2	36436583	36441236	plus	9		
