hit_id	protein_id	qc	per_ident	sbjct_start	sbjct_end	sbjct_len	query_len	gene_id	locus_tag	org_name	gene_location	gene_len	cds_location
ref|XP_053373641.1|	XP_053373641.1	1.0	0.67	1	659	659	662	NC_069361	LOC123564340	Mercenaria_mercenaria	{'start': 94223420, 'end': 94268187, 'strand': 1}	44768	[{'start': 38, 'end': 89, 'strand': 1}, {'start': 11693, 'end': 11785, 'strand': 1}, {'start': 14073, 'end': 14229, 'strand': 1}, {'start': 19010, 'end': 19086, 'strand': 1}, {'start': 20076, 'end': 20164, 'strand': 1}, {'start': 20984, 'end': 21067, 'strand': 1}, {'start': 21490, 'end': 21594, 'strand': 1}, {'start': 24383, 'end': 24454, 'strand': 1}, {'start': 28719, 'end': 28788, 'strand': 1}, {'start': 29656, 'end': 29744, 'strand': 1}, {'start': 30515, 'end': 30622, 'strand': 1}, {'start': 31247, 'end': 31356, 'strand': 1}, {'start': 33047, 'end': 33083, 'strand': 1}, {'start': 33264, 'end': 33332, 'strand': 1}, {'start': 36272, 'end': 36435, 'strand': 1}, {'start': 36892, 'end': 36956, 'strand': 1}, {'start': 37191, 'end': 37303, 'strand': 1}, {'start': 37728, 'end': 37843, 'strand': 1}, {'start': 39041, 'end': 39098, 'strand': 1}, {'start': 40203, 'end': 40360, 'strand': 1}, {'start': 41139, 'end': 41199, 'strand': 1}, {'start': 41397, 'end': 41435, 'strand': 1}]
ref|XP_052275796.1|	XP_052275796.1	1.0	0.68	1	662	662	662	NC_068357	LOC127875036	Dreissena_polymorpha	{'start': 83677197, 'end': 83713778, 'strand': 2}	36582	[{'start': 109, 'end': 160, 'strand': 1}, {'start': 5208, 'end': 5315, 'strand': 1}, {'start': 6532, 'end': 6685, 'strand': 1}, {'start': 7272, 'end': 7342, 'strand': 1}, {'start': 9192, 'end': 9274, 'strand': 1}, {'start': 9750, 'end': 9833, 'strand': 1}, {'start': 10463, 'end': 10567, 'strand': 1}, {'start': 10992, 'end': 11063, 'strand': 1}, {'start': 14267, 'end': 14425, 'strand': 1}, {'start': 15114, 'end': 15221, 'strand': 1}, {'start': 17014, 'end': 17123, 'strand': 1}, {'start': 19331, 'end': 19367, 'strand': 1}, {'start': 19518, 'end': 19586, 'strand': 1}, {'start': 23291, 'end': 23454, 'strand': 1}, {'start': 26021, 'end': 26085, 'strand': 1}, {'start': 26501, 'end': 26613, 'strand': 1}, {'start': 26770, 'end': 26812, 'strand': 1}, {'start': 27525, 'end': 27597, 'strand': 1}, {'start': 32456, 'end': 32513, 'strand': 1}, {'start': 33861, 'end': 34027, 'strand': 1}, {'start': 35370, 'end': 35430, 'strand': 1}, {'start': 35715, 'end': 35750, 'strand': 1}]
gb|KAH3852511.1|	KAH3852511.1	0.97	0.66	1	660	660	662	JAIWYP010000003.1	DPMN_095021	Dreissena_polymorpha	{'start': 83678029, 'end': 83708571, 'strand': 2}	30543	[{'start': 83708464, 'end': 83708571, 'strand': 2}, {'start': 83707094, 'end': 83707247, 'strand': 2}, {'start': 83706437, 'end': 83706507, 'strand': 2}, {'start': 83704505, 'end': 83704587, 'strand': 2}, {'start': 83703946, 'end': 83704029, 'strand': 2}, {'start': 83703212, 'end': 83703316, 'strand': 2}, {'start': 83702716, 'end': 83702787, 'strand': 2}, {'start': 83699354, 'end': 83699512, 'strand': 2}, {'start': 83698558, 'end': 83698665, 'strand': 2}, {'start': 83696656, 'end': 83696765, 'strand': 2}, {'start': 83694412, 'end': 83694448, 'strand': 2}, {'start': 83694193, 'end': 83694261, 'strand': 2}, {'start': 83690277, 'end': 83690488, 'strand': 2}, {'start': 83687694, 'end': 83687758, 'strand': 2}, {'start': 83687166, 'end': 83687278, 'strand': 2}, {'start': 83686967, 'end': 83687009, 'strand': 2}, {'start': 83686182, 'end': 83686254, 'strand': 2}, {'start': 83681266, 'end': 83681323, 'strand': 2}, {'start': 83679752, 'end': 83679918, 'strand': 2}, {'start': 83678349, 'end': 83678409, 'strand': 2}, {'start': 83678029, 'end': 83678064, 'strand': 2}]
ref|XP_060562241.1|	XP_060562241.1	1.0	0.64	1	656	656	662	NW_026863341	LOC132721883	Ruditapes_philippinarum	{'start': 51832, 'end': 93811, 'strand': 2}	41980	[{'start': 81, 'end': 132, 'strand': 1}, {'start': 12262, 'end': 12354, 'strand': 1}, {'start': 12771, 'end': 12930, 'strand': 1}, {'start': 13095, 'end': 13171, 'strand': 1}, {'start': 19983, 'end': 20056, 'strand': 1}, {'start': 21255, 'end': 21338, 'strand': 1}, {'start': 21898, 'end': 22002, 'strand': 1}, {'start': 22533, 'end': 22604, 'strand': 1}, {'start': 23425, 'end': 23494, 'strand': 1}, {'start': 23956, 'end': 24044, 'strand': 1}, {'start': 24638, 'end': 24745, 'strand': 1}, {'start': 25931, 'end': 26040, 'strand': 1}, {'start': 27687, 'end': 27723, 'strand': 1}, {'start': 27870, 'end': 27938, 'strand': 1}, {'start': 29667, 'end': 29830, 'strand': 1}, {'start': 30482, 'end': 30546, 'strand': 1}, {'start': 34532, 'end': 34644, 'strand': 1}, {'start': 35247, 'end': 35362, 'strand': 1}, {'start': 37331, 'end': 37388, 'strand': 1}, {'start': 38119, 'end': 38276, 'strand': 1}, {'start': 38774, 'end': 38834, 'strand': 1}, {'start': 40879, 'end': 40917, 'strand': 1}]
gb|KAL4236273.1|	KAL4236273.1	0.86	0.62	1	572	572	662	JBLEAB010000003.1	ACF0H5_004660	Mactra_antiquata	{'start': 27594955, 'end': 27619670, 'strand': 1}	24716	[{'start': 27597361, 'end': 27597398, 'strand': 1}, {'start': 27599789, 'end': 27599871, 'strand': 1}, {'start': 27602093, 'end': 27602172, 'strand': 1}, {'start': 27603438, 'end': 27603521, 'strand': 1}, {'start': 27603834, 'end': 27603938, 'strand': 1}, {'start': 27604328, 'end': 27604399, 'strand': 1}, {'start': 27605169, 'end': 27605238, 'strand': 1}, {'start': 27606115, 'end': 27606203, 'strand': 1}, {'start': 27606774, 'end': 27606881, 'strand': 1}, {'start': 27608193, 'end': 27608302, 'strand': 1}, {'start': 27610622, 'end': 27610658, 'strand': 1}, {'start': 27611080, 'end': 27611148, 'strand': 1}, {'start': 27611632, 'end': 27611795, 'strand': 1}, {'start': 27612151, 'end': 27612215, 'strand': 1}, {'start': 27615095, 'end': 27615210, 'strand': 1}, {'start': 27615705, 'end': 27615820, 'strand': 1}, {'start': 27616730, 'end': 27616787, 'strand': 1}, {'start': 27618049, 'end': 27618209, 'strand': 1}, {'start': 27618851, 'end': 27618911, 'strand': 1}, {'start': 27619632, 'end': 27619670, 'strand': 1}]
emb|CAC5418521.1|	CAC5418521.1	1.0	0.52	1	657	657	662	CACVKT020008931.1	MCOR_50952	Mytilus_coruscus	{'start': 273730, 'end': 313728, 'strand': 1}	39999	[{'start': 273730, 'end': 273781, 'strand': 1}, {'start': 280344, 'end': 280469, 'strand': 1}, {'start': 281023, 'end': 281149, 'strand': 1}, {'start': 285193, 'end': 285266, 'strand': 1}, {'start': 286572, 'end': 286639, 'strand': 1}, {'start': 294091, 'end': 294174, 'strand': 1}, {'start': 294718, 'end': 294822, 'strand': 1}, {'start': 295240, 'end': 295314, 'strand': 1}, {'start': 295659, 'end': 295728, 'strand': 1}, {'start': 296605, 'end': 296693, 'strand': 1}, {'start': 297405, 'end': 297512, 'strand': 1}, {'start': 299532, 'end': 299641, 'strand': 1}, {'start': 300876, 'end': 300912, 'strand': 1}, {'start': 302743, 'end': 302811, 'strand': 1}, {'start': 304800, 'end': 304916, 'strand': 1}, {'start': 305403, 'end': 305449, 'strand': 1}, {'start': 306252, 'end': 306316, 'strand': 1}, {'start': 308520, 'end': 308635, 'strand': 1}, {'start': 309435, 'end': 309477, 'strand': 1}, {'start': 309978, 'end': 310047, 'strand': 1}, {'start': 310570, 'end': 310627, 'strand': 1}, {'start': 311522, 'end': 311691, 'strand': 1}, {'start': 312421, 'end': 312481, 'strand': 1}, {'start': 313690, 'end': 313728, 'strand': 1}]
gb|KAK3583320.1|	KAK3583320.1	0.99	0.51	6	653	648	662	JAEAOA010002269.1	CHS0354_038929	Potamilus_streckersoni	{'start': 560387, 'end': 640614, 'strand': 1}	80228	[{'start': 560387, 'end': 560441, 'strand': 1}, {'start': 563124, 'end': 563219, 'strand': 1}, {'start': 569546, 'end': 569678, 'strand': 1}, {'start': 573080, 'end': 573153, 'strand': 1}, {'start': 578800, 'end': 578873, 'strand': 1}, {'start': 584293, 'end': 584376, 'strand': 1}, {'start': 587898, 'end': 588002, 'strand': 1}, {'start': 589800, 'end': 589871, 'strand': 1}, {'start': 592172, 'end': 592241, 'strand': 1}, {'start': 593623, 'end': 593711, 'strand': 1}, {'start': 596832, 'end': 596939, 'strand': 1}, {'start': 598772, 'end': 598881, 'strand': 1}, {'start': 603449, 'end': 603485, 'strand': 1}, {'start': 607224, 'end': 607292, 'strand': 1}, {'start': 610729, 'end': 610848, 'strand': 1}, {'start': 611329, 'end': 611375, 'strand': 1}, {'start': 615310, 'end': 615377, 'strand': 1}, {'start': 618518, 'end': 618633, 'strand': 1}, {'start': 622690, 'end': 622732, 'strand': 1}, {'start': 626604, 'end': 626676, 'strand': 1}, {'start': 630676, 'end': 630733, 'strand': 1}, {'start': 635218, 'end': 635384, 'strand': 1}, {'start': 639623, 'end': 639683, 'strand': 1}, {'start': 640576, 'end': 640614, 'strand': 1}]
ref|XP_052058679.1|	XP_052058679.1	1.0	0.52	1	657	657	662	NW_026262690	LOC127698945	Mytilus_californianus	{'start': 96813797, 'end': 96853560, 'strand': 2}	39764	[{'start': 89, 'end': 140, 'strand': 1}, {'start': 3623, 'end': 3748, 'strand': 1}, {'start': 4335, 'end': 4461, 'strand': 1}, {'start': 10085, 'end': 10158, 'strand': 1}, {'start': 10444, 'end': 10511, 'strand': 1}, {'start': 12869, 'end': 12952, 'strand': 1}, {'start': 13506, 'end': 13610, 'strand': 1}, {'start': 14057, 'end': 14131, 'strand': 1}, {'start': 14527, 'end': 14596, 'strand': 1}, {'start': 19068, 'end': 19156, 'strand': 1}, {'start': 19871, 'end': 19978, 'strand': 1}, {'start': 20896, 'end': 21005, 'strand': 1}, {'start': 22254, 'end': 22290, 'strand': 1}, {'start': 23001, 'end': 23069, 'strand': 1}, {'start': 24257, 'end': 24373, 'strand': 1}, {'start': 27206, 'end': 27252, 'strand': 1}, {'start': 27451, 'end': 27515, 'strand': 1}, {'start': 30035, 'end': 30150, 'strand': 1}, {'start': 30742, 'end': 30784, 'strand': 1}, {'start': 31703, 'end': 31772, 'strand': 1}, {'start': 34804, 'end': 34861, 'strand': 1}, {'start': 35996, 'end': 36165, 'strand': 1}, {'start': 37967, 'end': 38027, 'strand': 1}, {'start': 38880, 'end': 38918, 'strand': 1}]
ref|XP_061162409.1|	XP_061162409.1	1.0	0.5	1	660	660	662	NW_026889751	LOC133171637	Saccostrea_echinata	{'start': 8456733, 'end': 8469368, 'strand': 1}	12636	[{'start': 63, 'end': 114, 'strand': 1}, {'start': 932, 'end': 1072, 'strand': 1}, {'start': 1970, 'end': 2102, 'strand': 1}, {'start': 2427, 'end': 2482, 'strand': 1}, {'start': 2671, 'end': 2747, 'strand': 1}, {'start': 2837, 'end': 2920, 'strand': 1}, {'start': 3521, 'end': 3625, 'strand': 1}, {'start': 4330, 'end': 4401, 'strand': 1}, {'start': 4513, 'end': 4582, 'strand': 1}, {'start': 4801, 'end': 4889, 'strand': 1}, {'start': 5055, 'end': 5162, 'strand': 1}, {'start': 5365, 'end': 5474, 'strand': 1}, {'start': 7031, 'end': 7067, 'strand': 1}, {'start': 7260, 'end': 7328, 'strand': 1}, {'start': 7704, 'end': 7820, 'strand': 1}, {'start': 7991, 'end': 8037, 'strand': 1}, {'start': 8299, 'end': 8366, 'strand': 1}, {'start': 8650, 'end': 8762, 'strand': 1}, {'start': 9087, 'end': 9129, 'strand': 1}, {'start': 9272, 'end': 9344, 'strand': 1}, {'start': 9797, 'end': 9854, 'strand': 1}, {'start': 10062, 'end': 10228, 'strand': 1}, {'start': 10474, 'end': 10534, 'strand': 1}, {'start': 12094, 'end': 12132, 'strand': 1}]
emb|CAG2249952.1|	CAG2249952.1	1.0	0.52	1	657	657	662	CAJPWZ010003023.1	MEDL_61731	Mytilus_edulis	{'start': 430031, 'end': 470034, 'strand': 1}	40004	[{'start': 430031, 'end': 430082, 'strand': 1}, {'start': 432026, 'end': 432151, 'strand': 1}, {'start': 433093, 'end': 433219, 'strand': 1}, {'start': 434608, 'end': 434681, 'strand': 1}, {'start': 435201, 'end': 435268, 'strand': 1}, {'start': 439653, 'end': 439736, 'strand': 1}, {'start': 440769, 'end': 440873, 'strand': 1}, {'start': 441548, 'end': 441622, 'strand': 1}, {'start': 442020, 'end': 442089, 'strand': 1}, {'start': 445892, 'end': 445980, 'strand': 1}, {'start': 451355, 'end': 451462, 'strand': 1}, {'start': 452230, 'end': 452339, 'strand': 1}, {'start': 453700, 'end': 453736, 'strand': 1}, {'start': 454338, 'end': 454406, 'strand': 1}, {'start': 461023, 'end': 461139, 'strand': 1}, {'start': 462116, 'end': 462162, 'strand': 1}, {'start': 462354, 'end': 462418, 'strand': 1}, {'start': 462746, 'end': 462861, 'strand': 1}, {'start': 463842, 'end': 463884, 'strand': 1}, {'start': 465787, 'end': 465856, 'strand': 1}, {'start': 466920, 'end': 466977, 'strand': 1}, {'start': 467365, 'end': 467534, 'strand': 1}, {'start': 467869, 'end': 467929, 'strand': 1}, {'start': 469996, 'end': 470034, 'strand': 1}]
