sub_phylum	org_name_protein_id	org_name	stop_codon_pos	equal_to_cds	cassette_intron_start	intron_length_to_stop_codon	intron_length	first_exon_length	source
Otomorpha	ictalurus_punctatus_11	Ictalurus_punctatus	1104	False	1058	46	3166	110	datasets
Otomorpha	chanos_chanos_4	Chanos_chanos	1071	False	1070	1	3568	110	datasets
Otomorpha	sinocyclocheilus_rhinocerous_12	Sinocyclocheilus_rhinocerous	1215	False	1061	154	3449	110	datasets
Otomorpha	carassius_auratus_9	Carassius_auratus	1221	False	1073	148	3854	110	datasets
Otomorpha	denticeps_clupeoides_5	Denticeps_clupeoides	1041	False	1034	7	2629	110	datasets
Otomorpha	pygocentrus_nattereri_10	Pygocentrus_nattereri	1110	False	1064	46	2649	110	datasets
Otomorpha	pangasianodon_hypophthalmus_8	Pangasianodon_hypophthalmus	1128	False	1082	46	3348	110	datasets
Otomorpha	sinocyclocheilus_grahami_14	Sinocyclocheilus_grahami	1212	False	1064	148	3330	110	datasets
Otomorpha	danio_rerio_2	Danio_rerio	1092	False	1091	1	3580	110	datasets
Otomorpha	electrophorus_electricus_7	Electrophorus_electricus	1353	False	1070	283	2874	110	datasets
Otomorpha	tachysurus_fulvidraco_6	Tachysurus_fulvidraco	1119	False	1073	46	3493	110	datasets
Otomorpha	sinocyclocheilus_anshuiensis_13	Sinocyclocheilus_anshuiensis	1245	False	1091	154	4202	110	datasets
Otomorpha	astyanax_mexicanus_3	Astyanax_mexicanus	1140	False	1094	46	2791	110	datasets
Otomorpha	colossoma_macropomum_0	Colossoma_macropomum	1113	False	1067	46	2644	110	datasets
Otomorpha	puntigrus_tetrazona_16	Puntigrus_tetrazona	1101	False	1076	25	2440	110	datasets
Otomorpha	clupea_harengus_15	Clupea_harengus	1101	False	1079	22	3219	110	datasets
Euteleosteomorpha	salarias_fasciatus_18	Salarias_fasciatus	1068	False	1046	22	3855	110	datasets
Euteleosteomorpha	poecilia_mexicana_3	Poecilia_mexicana	1173	False	1151	22	2247	110	datasets
Euteleosteomorpha	xiphophorus_couchianus_28	Xiphophorus_couchianus	1164	False	1142	22	2227	110	datasets
Euteleosteomorpha	cottoperca_gobio_21	Cottoperca_gobio	1173	False	1157	16	2388	110	datasets
Euteleosteomorpha	cyprinodon_variegatus_41	Cyprinodon_variegatus	1128	False	1100	28	2533	110	datasets
Euteleosteomorpha	gouania_willdenowi_24	Gouania_willdenowi	1089	False	1052	37	2616	110	datasets
Euteleosteomorpha	poecilia_reticulata_47	Poecilia_reticulata	1176	False	1154	22	2262	110	datasets
Euteleosteomorpha	takifugu_rubripes_55	Takifugu_rubripes	1146	False	1124	22	2114	110	datasets
Euteleosteomorpha	notothenia_coriiceps_45	Notothenia_coriiceps	399	False	377	22	2886	110	datasets
Euteleosteomorpha	myripristis_murdjan_19	Myripristis_murdjan	1263	False	1151	112	2492	110	datasets
Euteleosteomorpha	betta_splendens_22	Betta_splendens	1188	False	1166	22	2274	110	datasets
Euteleosteomorpha	etheostoma_spectabile_11	Etheostoma_spectabile	1251	False	1154	97	2457	110	datasets
Euteleosteomorpha	salmo_salar_0	Salmo_salar	1119	False	1052	67	3553	110	datasets
Euteleosteomorpha	larimichthys_crocea_46	Larimichthys_crocea	1104	False	1082	22	2340	110	datasets
Euteleosteomorpha	lates_calcarifer_4	Lates_calcarifer	1299	False	1277	22	2434	110	datasets
Euteleosteomorpha	stegastes_partitus_49	Stegastes_partitus	1074	False	1052	22	2900	110	datasets
Euteleosteomorpha	fundulus_heteroclitus_43	Fundulus_heteroclitus	1134	False	1109	25	2476	110	datasets
Euteleosteomorpha	sparus_aurata_16	Sparus_aurata	1170	False	1148	22	2361	110	datasets
Euteleosteomorpha	anarrhichthys_ocellatus_12	Anarrhichthys_ocellatus	1185	False	1163	22	2355	110	datasets
Euteleosteomorpha	boleophthalmus_pectinirostris_35	Boleophthalmus_pectinirostris	1071	False	1049	22	1702	110	datasets
Euteleosteomorpha	xiphophorus_maculatus_52	Xiphophorus_maculatus	1068	False	1046	22	2231	110	datasets
Euteleosteomorpha	anabas_testudineus_29	Anabas_testudineus	1176	False	1154	22	2352	110	datasets
Euteleosteomorpha	mastacembelus_armatus_30	Mastacembelus_armatus	1125	False	1061	64	2371	110	datasets
Euteleosteomorpha	acanthochromis_polyacanthus_34	Acanthochromis_polyacanthus	1074	False	1052	22	2797	110	datasets
Euteleosteomorpha	haplochromis_burtoni_51	Haplochromis_burtoni	1161	False	1130	31	2535	110	datasets
Euteleosteomorpha	nothobranchius_furzeri_7	Nothobranchius_furzeri	1146	False	1124	22	2290	110	datasets
Euteleosteomorpha	paralichthys_olivaceus_38	Paralichthys_olivaceus	1173	False	1151	22	3148	110	datasets
Euteleosteomorpha	maylandia_zebra_54	Maylandia_zebra	1152	False	1130	22	2565	110	datasets
Euteleosteomorpha	labrus_bergylta_36	Labrus_bergylta	1191	False	1181	10	2684	110	datasets
Euteleosteomorpha	parambassis_ranga_1	Parambassis_ranga	1068	False	1046	22	2484	110	datasets
Euteleosteomorpha	sander_lucioperca_14	Sander_lucioperca	1182	False	1160	22	2494	110	datasets
Euteleosteomorpha	oryzias_latipes_9	Oryzias_latipes	1188	False	1148	40	2331	110	datasets
Euteleosteomorpha	archocentrus_centrarchus_15	Archocentrus_centrarchus	1095	False	1073	22	2644	110	datasets
Euteleosteomorpha	esox_lucius_44	Esox_lucius	1053	False	1031	22	2848	110	datasets
Euteleosteomorpha	monopterus_albus_37	Monopterus_albus	1134	False	1112	22	2353	110	datasets
Euteleosteomorpha	echeneis_naucrates_20	Echeneis_naucrates	1068	False	1046	22	2314	110	datasets
Euteleosteomorpha	sphaeramia_orbicularis_17	Sphaeramia_orbicularis	1101	False	1058	43	2376	110	datasets
Euteleosteomorpha	xiphophorus_hellerii_10	Xiphophorus_hellerii	1083	False	1061	22	2240	110	datasets
Euteleosteomorpha	poecilia_latipinna_2	Poecilia_latipinna	1182	False	1160	22	2261	110	datasets
Euteleosteomorpha	pundamilia_nyererei_53	Pundamilia_nyererei	1152	False	1130	22	2527	110	datasets
Euteleosteomorpha	hippocampus_comes_39	Hippocampus_comes	1230	False	1208	22	2622	110	datasets
Euteleosteomorpha	poecilia_formosa_50	Poecilia_formosa	1179	False	1157	22	2259	110	datasets
Euteleosteomorpha	oreochromis_niloticus_56	Oreochromis_niloticus	1152	False	1130	22	2580	110	datasets
Euteleosteomorpha	kryptolebias_marmoratus_40	Kryptolebias_marmoratus	1164	False	1142	22	2556	110	datasets
Euteleosteomorpha	oryzias_melastigma_5	Oryzias_melastigma	1167	False	1145	22	2212	110	datasets
Euteleosteomorpha	amphiprion_ocellaris_33	Amphiprion_ocellaris	1077	False	1055	22	2752	110	datasets
Euteleosteomorpha	seriola_dumerili_6	Seriola_dumerili	1086	False	1064	22	2494	110	datasets
Euteleosteomorpha	oreochromis_aureus_13	Oreochromis_aureus	1152	False	1130	22	2579	110	datasets
Euteleosteomorpha	perca_flavescens_23	Perca_flavescens	1215	False	1157	58	2378	110	datasets
Euteleosteomorpha	gadus_morhua_8	Gadus_morhua	1242	False	1175	67	3151	110	datasets
Euteleosteomorpha	astatotilapia_calliptera_31	Astatotilapia_calliptera	1161	False	1130	31	2571	110	datasets
Euteleosteomorpha	austrofundulus_limnaeus_42	Austrofundulus_limnaeus	1167	False	1145	22	2541	110	datasets
Euteleosteomorpha	seriola_lalandi_dorsalis_32	Seriola_lalandi_dorsalis	1185	False	1163	22	2481	110	datasets
Osteoglossomorpha	paramormyrops_kingsleyae_0	Paramormyrops_kingsleyae	1254	False	1133	121	2929	110	datasets
Osteoglossomorpha	scleropages_formosus_1	Scleropages_formosus	1239	False	1127	112	3412	110	datasets
Cladistia	erpetoichthys_calabaricus_0	Erpetoichthys_calabaricus	1173	False	1118	55	3662	110	datasets
