hit_id	protein_id	qc	per_ident	sbjct_start	sbjct_end	sbjct_len	query_len	gene_id	locus_tag	org_name	gene_location	gene_len	cds_location
gb|PIC28742.1|	PIC28742.1	1.0	0.77	10	619	610	609	PDUG01000005.1	B9Z55_020559	Caenorhabditis_nigoni	{'start': 15962963, 'end': 15965747, 'strand': 1}	2785	[{'start': 15962963, 'end': 15963113, 'strand': 1}, {'start': 15963160, 'end': 15963557, 'strand': 1}, {'start': 15963606, 'end': 15963785, 'strand': 1}, {'start': 15963833, 'end': 15963919, 'strand': 1}, {'start': 15964362, 'end': 15964471, 'strand': 1}, {'start': 15964614, 'end': 15964650, 'strand': 1}, {'start': 15964703, 'end': 15964771, 'strand': 1}, {'start': 15964827, 'end': 15965020, 'strand': 1}, {'start': 15965065, 'end': 15965355, 'strand': 1}, {'start': 15965405, 'end': 15965747, 'strand': 1}]
gb|UMM37086.1|	UMM37086.1	1.0	0.75	1	619	619	609	CP092624.1	L5515_008967	Caenorhabditis_briggsae	{'start': 14920040, 'end': 14923488, 'strand': 1}	3449	[{'start': 14920040, 'end': 14920190, 'strand': 1}, {'start': 14920389, 'end': 14920786, 'strand': 1}, {'start': 14920831, 'end': 14921010, 'strand': 1}, {'start': 14921056, 'end': 14921142, 'strand': 1}, {'start': 14921188, 'end': 14921297, 'strand': 1}, {'start': 14921443, 'end': 14921479, 'strand': 1}, {'start': 14921529, 'end': 14921597, 'strand': 1}, {'start': 14921655, 'end': 14921848, 'strand': 1}, {'start': 14921893, 'end': 14922183, 'strand': 1}, {'start': 14922233, 'end': 14922575, 'strand': 1}]
ref|XP_003112825.1|	XP_003112825.1	1.0	0.75	1	620	620	609	NC_000002	GCK72_017516	Caenorhabditis_remanei	{'start': 73893008, 'end': 73919865, 'strand': 1}	26858	[{'start': 8305, 'end': 8430, 'strand': 1}, {'start': 9353, 'end': 9481, 'strand': 1}, {'start': 15666, 'end': 15776, 'strand': 1}, {'start': 16048, 'end': 16132, 'strand': 1}, {'start': 20478, 'end': 20639, 'strand': 1}, {'start': 21673, 'end': 21864, 'strand': 1}, {'start': 23577, 'end': 23758, 'strand': 1}, {'start': 26425, 'end': 26568, 'strand': 1}]
gb|EGT34035.1|	EGT34035.1	0.98	0.75	9	608	600	609	GL379909.1	CAEBREN_12009	Caenorhabditis_brenneri	{'start': 184834, 'end': 187367, 'strand': 1}	2534	[{'start': 184834, 'end': 184984, 'strand': 1}, {'start': 185126, 'end': 185517, 'strand': 1}, {'start': 185569, 'end': 185748, 'strand': 1}, {'start': 185797, 'end': 185883, 'strand': 1}, {'start': 185932, 'end': 186041, 'strand': 1}, {'start': 186172, 'end': 186208, 'strand': 1}, {'start': 186260, 'end': 186331, 'strand': 1}, {'start': 186381, 'end': 186574, 'strand': 1}, {'start': 186624, 'end': 186914, 'strand': 1}, {'start': 186970, 'end': 187249, 'strand': 1}, {'start': 187302, 'end': 187367, 'strand': 1}]
gb|EGT56062.1|	EGT56062.1	0.98	0.73	9	624	616	609	GL380460.1	CAEBREN_31942	Caenorhabditis_brenneri	{'start': 3403, 'end': 5938, 'strand': 2}	2536	[{'start': 5788, 'end': 5938, 'strand': 2}, {'start': 5254, 'end': 5645, 'strand': 2}, {'start': 5023, 'end': 5202, 'strand': 2}, {'start': 4730, 'end': 4974, 'strand': 2}, {'start': 4563, 'end': 4599, 'strand': 2}, {'start': 4439, 'end': 4510, 'strand': 2}, {'start': 4196, 'end': 4389, 'strand': 2}, {'start': 3856, 'end': 4146, 'strand': 2}, {'start': 3521, 'end': 3800, 'strand': 2}, {'start': 3403, 'end': 3468, 'strand': 2}]
emb|CAI2353387.1|	CAI2353387.1	1.0	0.7	1	619	619	609	CAMPFS010000005.1	CNIP_LOCUS11388	Caenorhabditis_sp._36_PRJEB53466	{'start': 3126013, 'end': 3128447, 'strand': 2}	2435	[{'start': 3128297, 'end': 3128447, 'strand': 2}, {'start': 3127854, 'end': 3128254, 'strand': 2}, {'start': 3127538, 'end': 3127804, 'strand': 2}, {'start': 3127382, 'end': 3127491, 'strand': 2}, {'start': 3127212, 'end': 3127248, 'strand': 2}, {'start': 3127083, 'end': 3127151, 'strand': 2}, {'start': 3126907, 'end': 3127038, 'strand': 2}, {'start': 3126802, 'end': 3126857, 'strand': 2}, {'start': 3126460, 'end': 3126756, 'strand': 2}, {'start': 3126128, 'end': 3126407, 'strand': 2}, {'start': 3126013, 'end': 3126075, 'strand': 2}]
ref|XP_053580798.1|	XP_053580798.1	1.0	0.66	1	583	583	609	NC_000002	GCK72_017096	Caenorhabditis_remanei	{'start': 73893008, 'end': 73919865, 'strand': 1}	26858	[{'start': 8305, 'end': 8430, 'strand': 1}, {'start': 9353, 'end': 9481, 'strand': 1}, {'start': 15666, 'end': 15776, 'strand': 1}, {'start': 16048, 'end': 16132, 'strand': 1}, {'start': 20478, 'end': 20639, 'strand': 1}, {'start': 21673, 'end': 21864, 'strand': 1}, {'start': 23577, 'end': 23758, 'strand': 1}, {'start': 26425, 'end': 26568, 'strand': 1}]
emb|CAI5450371.1|	CAI5450371.1	1.0	0.56	2	618	617	609	CANHGI010000005.1	CAMP_LOCUS13008	Caenorhabditis_angaria	{'start': 2146390, 'end': 2153621, 'strand': 1}	7232	[{'start': 2146390, 'end': 2146926, 'strand': 1}, {'start': 2147816, 'end': 2147995, 'strand': 1}, {'start': 2149112, 'end': 2149198, 'strand': 1}, {'start': 2149394, 'end': 2149503, 'strand': 1}, {'start': 2149600, 'end': 2149636, 'strand': 1}, {'start': 2149682, 'end': 2149747, 'strand': 1}, {'start': 2150479, 'end': 2150675, 'strand': 1}, {'start': 2151963, 'end': 2152404, 'strand': 1}, {'start': 2153271, 'end': 2153408, 'strand': 1}, {'start': 2153559, 'end': 2153621, 'strand': 1}]
emb|CAB3397759.1|	CAB3397759.1	1.0	0.57	1	619	619	609	CADEPM010000001.1	CBOVIS_LOCUS1125	Caenorhabditis_bovis	{'start': 5437451, 'end': 5440914, 'strand': 1}	3464	[{'start': 5437451, 'end': 5437601, 'strand': 1}, {'start': 5437650, 'end': 5437774, 'strand': 1}, {'start': 5437820, 'end': 5437945, 'strand': 1}, {'start': 5437991, 'end': 5438131, 'strand': 1}, {'start': 5438180, 'end': 5438249, 'strand': 1}, {'start': 5438299, 'end': 5438408, 'strand': 1}, {'start': 5438485, 'end': 5438571, 'strand': 1}, {'start': 5438925, 'end': 5439034, 'strand': 1}, {'start': 5439270, 'end': 5439306, 'strand': 1}, {'start': 5439359, 'end': 5439427, 'strand': 1}, {'start': 5439475, 'end': 5439606, 'strand': 1}, {'start': 5439658, 'end': 5439719, 'strand': 1}, {'start': 5439765, 'end': 5439853, 'strand': 1}, {'start': 5439901, 'end': 5439989, 'strand': 1}, {'start': 5440035, 'end': 5440156, 'strand': 1}, {'start': 5440207, 'end': 5440348, 'strand': 1}, {'start': 5440396, 'end': 5440533, 'strand': 1}, {'start': 5440852, 'end': 5440914, 'strand': 1}]
emb|CAB3397758.1|	CAB3397758.1	1.0	0.57	1	619	619	609	CADEPM010000001.1	CBOVIS_LOCUS1125	Caenorhabditis_bovis	{'start': 5437451, 'end': 5440914, 'strand': 1}	3464	[{'start': 5437451, 'end': 5437601, 'strand': 1}, {'start': 5437650, 'end': 5437774, 'strand': 1}, {'start': 5437820, 'end': 5437945, 'strand': 1}, {'start': 5437991, 'end': 5438131, 'strand': 1}, {'start': 5438180, 'end': 5438249, 'strand': 1}, {'start': 5438299, 'end': 5438408, 'strand': 1}, {'start': 5438485, 'end': 5438571, 'strand': 1}, {'start': 5438925, 'end': 5439034, 'strand': 1}, {'start': 5439270, 'end': 5439306, 'strand': 1}, {'start': 5439359, 'end': 5439427, 'strand': 1}, {'start': 5439475, 'end': 5439606, 'strand': 1}, {'start': 5439658, 'end': 5439719, 'strand': 1}, {'start': 5439765, 'end': 5439853, 'strand': 1}, {'start': 5439901, 'end': 5439989, 'strand': 1}, {'start': 5440035, 'end': 5440156, 'strand': 1}, {'start': 5440207, 'end': 5440348, 'strand': 1}, {'start': 5440396, 'end': 5440533, 'strand': 1}, {'start': 5440852, 'end': 5440914, 'strand': 1}]
