sub_phylum	org_name	org_name_protein_id	stop_codon_pos	equal_to_cds	cassette_intron_start	intron_length_to_stop_codon	intron_length	first_exon_length	source
Bivalvia	Mercenaria_mercenaria	Mercenaria_mercenaria__XP_053373641.1	1107	False	1106	1	1690	110	psi_blast
Bivalvia	Dreissena_polymorpha	Dreissena_polymorpha__XP_052275796.1	1107	False	1106	1	2207	110	psi_blast
Bivalvia	Ruditapes_philippinarum	Ruditapes_philippinarum__XP_060562241.1	1095	False	1094	1	1646	110	psi_blast
Bivalvia	Mactra_antiquata	Mactra_antiquata__KAL4236273.1	840	False	839	1	2319	110	psi_blast
Bivalvia	Mytilus_coruscus	Mytilus_coruscus__CAC5418521.1	1089	False	1088	1	1234	110	psi_blast
Bivalvia	Potamilus_streckersoni	Potamilus_streckersoni__KAK3583320.1	1071	False	1070	1	4567	110	psi_blast
Bivalvia	Saccostrea_echinata	Saccostrea_echinata__XP_061162409.1	1098	False	1097	1	1556	110	psi_blast
Bivalvia	Mytilus_edulis	Mytilus_edulis__XP_071161937.1	1089	False	1088	1	1360	110	psi_blast
Bivalvia	Mytilus_trossulus	Mytilus_trossulus__XP_063426764.1	1089	False	1088	1	1357	110	psi_blast
Bivalvia	Pecten_maximus	Pecten_maximus__XP_033733776.1	1158	False	1157	1	5000	110	psi_blast
Bivalvia	Ostrea_edulis	Ostrea_edulis__XP_048734460.1	1083	False	1082	1	1643	110	psi_blast
Bivalvia	Crassostrea_virginica	Crassostrea_virginica__XP_022333190.1	1110	False	1109	1	1613	110	psi_blast
Bivalvia	Mizuhopecten_yessoensis	Mizuhopecten_yessoensis__XP_021375107.1	1140	False	1139	1	4836	110	psi_blast
Bivalvia	Saccostrea_cuccullata	Saccostrea_cuccullata__XP_062570242.1	1107	False	1106	1	1706	110	psi_blast
Bivalvia	Solemya_velum	Solemya_velum__KAL5008704.1	1053	False	1049	4	2071	110	psi_blast
Bivalvia	Ylistrum_balloti	Ylistrum_balloti__XP_060083561.1	1170	False	1169	1	4649	110	psi_blast
Bivalvia	Magallana_angulata	Magallana_angulata__XP_052698089.1	1101	False	1100	1	1534	110	psi_blast
Bivalvia	Argopecten_irradians	Argopecten_irradians__XP_069116939.1	1170	False	1169	1	5057	110	psi_blast
Bivalvia	Magallana_gigas	Magallana_gigas__XP_065942772.1	1035	False	1034	1	1537	110	psi_blast
Bivalvia	Mytilus_californianus	Mytilus_californianus__XP_052058682.1	1089	False	1088	1	1248	110	psi_blast
Bivalvia	Pinctada_imbricata	Pinctada_imbricata__KAK3093491.1	1056	False	1055	1	4144	110	psi_blast
Bivalvia	Sinanodonta_woodiana	Sinanodonta_woodiana__KAL3874362.1	1089	False	1088	1	4580	110	psi_blast
