tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	10482	0	live	NXF1	MEX67, TAP	nuclear RNA export factor 1	nuclear RNA export factor 1|mRNA export factor TAP|tip associating protein|tip-associated protein	11q12.3	11	NC_000011.10	62792130	62805440	minus	22	602647	
10090	Mus musculus	53319	0	live	Nxf1	Mex67, Mvb1, Tap	nuclear RNA export factor 1	nuclear RNA export factor 1|Mex 67 homolog|mRNA export factor TAP|modifier of vibrator 1|nuclear RNA export factor 1 homolog|tip associated protein|tip associating protein	19 5.5 cM	19	NC_000085.7	8734467	8748274	plus	20		
10116	Rattus norvegicus	59087	0	live	Nxf1	Mex67h, Tap	nuclear RNA export factor 1	nuclear RNA export factor 1|mRNA export factor TAP|nuclear RNA export factor 1 homolog|tip-associated protein|tip-associating protein	1q43	1	NC_086019.1	215084563	215097756	plus	21		
8407	Rana temporaria	120917577	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		11	NC_053499.1	120752259	120809664	plus	22		
8364	Xenopus tropicalis	734058	0	live	nxf1	mex67, tap	nuclear RNA export factor 1	nuclear RNA export factor 1		4	NC_030680.2	36493131	36532401	minus	23		
9598	Pan troglodytes	451267	0	live	NXF1	CK820_G0030982	nuclear RNA export factor 1	nuclear RNA export factor 1		9	NC_072407.2	65104305	65118449	minus	23		
9544	Macaca mulatta	718420	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		14	NC_041767.1	11388631	11403715	plus	21		
9913	Bos taurus	512136	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		29	NC_037356.1	41099477	41110792	minus	22		
9615	Canis lupus familiaris	483780	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		18	NC_051822.1	54936964	54947631	plus	21		
9823	Sus scrofa	100628213	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		2	NC_010444.4	8968659	8983276	plus	22		
