sub_phylum	org_name	org_name_protein_id	stop_codon_pos	equal_to_cds	cassette_intron_start	intron_length_to_stop_codon	intron_length	first_exon_length	source
Gastropoda	Haliotis_cracherodii	Haliotis_cracherodii__XP_071079091.1	1041	False	1040	1	2506	110	psi_blast
Gastropoda	Haliotis_rufescens	Haliotis_rufescens__XP_046327842.1	1041	False	1040	1	2505	110	psi_blast
Gastropoda	Haliotis_asinina	Haliotis_asinina__XP_067680995.1	1038	False	1037	1	2375	110	psi_blast
Gastropoda	Patella_vulgata	Patella_vulgata__XP_055957145.1	1119	False	1118	1	1384	110	psi_blast
Gastropoda	Patella_caerulea	Patella_caerulea__KAK6181636.1	1092	False	1091	1	1362	110	psi_blast
Gastropoda	Littorina_saxatilis	Littorina_saxatilis__XP_070180466.1	1095	False	1076	19	6746	218	psi_blast
Gastropoda	Batillaria_attramentaria	Batillaria_attramentaria__KAK7466614.1	1005	False	1004	1	8614	110	psi_blast
Gastropoda	Lymnaea_stagnalis	Lymnaea_stagnalis__CAL1544423.1	1074	False	1073	1	2705	221	psi_blast
Gastropoda	Pomacea_canaliculata	Pomacea_canaliculata__PVD26032.1	471	False	470	1	255	56	psi_blast
Gastropoda	Bradybaena_similaris	Bradybaena_similaris__BFZ07487.1	1020	False	1019	1	3811	221	psi_blast
Gastropoda	Elysia_crispata	Elysia_crispata__KAK3787234.1	1041	False	1040	1	8063	221	psi_blast
Gastropoda	Elysia_chlorotica	Elysia_chlorotica__RUS69005.1	1038	False	1037	1	7182	221	psi_blast
Gastropoda	Aplysia_californica	Aplysia_californica__XP_005094816.1	1068	False	1067	1	4146	221	psi_blast
Gastropoda	Bulinus_truncatus	Bulinus_truncatus__KAH9514235.1	1131	False	1130	1	1873	221	psi_blast
Gastropoda	Biomphalaria_pfeifferi	Biomphalaria_pfeifferi__KAK0057013.1	1020	False	1019	1	1885	221	psi_blast
Gastropoda	Biomphalaria_glabrata	Biomphalaria_glabrata__XP_055880572.1	987	False	986	1	1889	221	psi_blast
