hit_id	protein_id	qc	per_ident	sbjct_start	sbjct_end	sbjct_len	query_len	gene_id	locus_tag	org_name	gene_location	gene_len	cds_location
emb|CAH8656942.1|	CAH8656942.1	1.0	1.0	1	665	665	665	OX103890.1	SGUI1_LOCUS9081	Schistosoma_guineensis	{'start': 60165705, 'end': 60179837, 'strand': 1}	14133	[{'start': 60165705, 'end': 60165756, 'strand': 1}, {'start': 60168559, 'end': 60168698, 'strand': 1}, {'start': 60169386, 'end': 60169604, 'strand': 1}, {'start': 60170128, 'end': 60170457, 'strand': 1}, {'start': 60171797, 'end': 60172035, 'strand': 1}, {'start': 60172688, 'end': 60172724, 'strand': 1}, {'start': 60173761, 'end': 60173912, 'strand': 1}, {'start': 60174727, 'end': 60175090, 'strand': 1}, {'start': 60177711, 'end': 60177914, 'strand': 1}, {'start': 60179577, 'end': 60179837, 'strand': 1}]
emb|CAH8663826.1|	CAH8663826.1	1.0	0.99	1	665	665	665	OX104148.1	SCUR2_LOCUS8917	Schistosoma_curassoni	{'start': 65037202, 'end': 65051277, 'strand': 1}	14076	[{'start': 65037202, 'end': 65037253, 'strand': 1}, {'start': 65040049, 'end': 65040188, 'strand': 1}, {'start': 65040884, 'end': 65041102, 'strand': 1}, {'start': 65041626, 'end': 65041955, 'strand': 1}, {'start': 65043313, 'end': 65043551, 'strand': 1}, {'start': 65044204, 'end': 65044240, 'strand': 1}, {'start': 65045252, 'end': 65045403, 'strand': 1}, {'start': 65046218, 'end': 65046581, 'strand': 1}, {'start': 65049155, 'end': 65049358, 'strand': 1}, {'start': 65051017, 'end': 65051277, 'strand': 1}]
emb|CAH8671530.1|	CAH8671530.1	1.0	0.99	1	665	665	665	OX103961.1	SBOV1_LOCUS8918	Schistosoma_bovis	{'start': 64139427, 'end': 64158130, 'strand': 1}	18704	[{'start': 64139480, 'end': 64139531, 'strand': 1}, {'start': 64142316, 'end': 64142455, 'strand': 1}, {'start': 64143151, 'end': 64143369, 'strand': 1}, {'start': 64143893, 'end': 64144222, 'strand': 1}, {'start': 64145569, 'end': 64145807, 'strand': 1}, {'start': 64146460, 'end': 64146496, 'strand': 1}, {'start': 64147519, 'end': 64147670, 'strand': 1}, {'start': 64148486, 'end': 64148849, 'strand': 1}, {'start': 64155227, 'end': 64155430, 'strand': 1}, {'start': 64157083, 'end': 64157343, 'strand': 1}]
emb|CAH8667553.1|	CAH8667553.1	1.0	0.99	1	665	665	665	OX104024.1	SMRG1_LOCUS9311	Schistosoma_margrebowiei	{'start': 64940181, 'end': 64957021, 'strand': 2}	16841	[{'start': 64956942, 'end': 64956993, 'strand': 2}, {'start': 64951352, 'end': 64951491, 'strand': 2}, {'start': 64950436, 'end': 64950654, 'strand': 2}, {'start': 64949619, 'end': 64949948, 'strand': 2}, {'start': 64947979, 'end': 64948217, 'strand': 2}, {'start': 64947292, 'end': 64947328, 'strand': 2}, {'start': 64946157, 'end': 64946308, 'strand': 2}, {'start': 64944970, 'end': 64945333, 'strand': 2}, {'start': 64942822, 'end': 64943025, 'strand': 2}, {'start': 64940901, 'end': 64941161, 'strand': 2}]
emb|CAH8646207.1|	CAH8646207.1	1.0	0.99	1	665	665	665	OX103883.1	SINT2_LOCUS8870	Schistosoma_intercalatum	{'start': 60987675, 'end': 61011434, 'strand': 1}	23760	[{'start': 60987717, 'end': 60987768, 'strand': 1}, {'start': 60990546, 'end': 60990685, 'strand': 1}, {'start': 60995232, 'end': 60995450, 'strand': 1}, {'start': 60995974, 'end': 60996303, 'strand': 1}, {'start': 60997652, 'end': 60997890, 'strand': 1}, {'start': 60998543, 'end': 60998579, 'strand': 1}, {'start': 60999635, 'end': 60999786, 'strand': 1}, {'start': 61004538, 'end': 61004901, 'strand': 1}, {'start': 61007585, 'end': 61007788, 'strand': 1}, {'start': 61010386, 'end': 61010646, 'strand': 1}]
emb|CAI2735454.1|	CAI2735454.1	1.0	0.98	1	665	665	665	OX336416.1	SSPN1_LOCUS8448	Schistosoma_spindalis	{'start': 56123760, 'end': 56139996, 'strand': 1}	16237	[{'start': 56123788, 'end': 56123839, 'strand': 1}, {'start': 56125941, 'end': 56126080, 'strand': 1}, {'start': 56127301, 'end': 56127519, 'strand': 1}, {'start': 56128039, 'end': 56128368, 'strand': 1}, {'start': 56129983, 'end': 56130221, 'strand': 1}, {'start': 56130805, 'end': 56130907, 'strand': 1}, {'start': 56131954, 'end': 56132105, 'strand': 1}, {'start': 56132891, 'end': 56133254, 'strand': 1}, {'start': 56134543, 'end': 56134746, 'strand': 1}, {'start': 56139007, 'end': 56139267, 'strand': 1}]
emb|CAI2735455.1|	CAI2735455.1	1.0	0.95	1	687	687	665	OX336416.1	SSPN1_LOCUS8448	Schistosoma_spindalis	{'start': 56123760, 'end': 56139996, 'strand': 1}	16237	[{'start': 56123788, 'end': 56123839, 'strand': 1}, {'start': 56125941, 'end': 56126080, 'strand': 1}, {'start': 56127301, 'end': 56127519, 'strand': 1}, {'start': 56128039, 'end': 56128368, 'strand': 1}, {'start': 56129983, 'end': 56130221, 'strand': 1}, {'start': 56130805, 'end': 56130907, 'strand': 1}, {'start': 56131954, 'end': 56132105, 'strand': 1}, {'start': 56132891, 'end': 56133254, 'strand': 1}, {'start': 56134543, 'end': 56134746, 'strand': 1}, {'start': 56139007, 'end': 56139267, 'strand': 1}]
emb|CAH8677847.1|	CAH8677847.1	1.0	0.95	1	665	665	665	OX103919.1	SRDH2_LOCUS9373	Schistosoma_rodhaini	{'start': 68500477, 'end': 68516569, 'strand': 1}	16093	[{'start': 68500669, 'end': 68500720, 'strand': 1}, {'start': 68502316, 'end': 68502455, 'strand': 1}, {'start': 68504519, 'end': 68504737, 'strand': 1}, {'start': 68505285, 'end': 68505614, 'strand': 1}, {'start': 68507274, 'end': 68507512, 'strand': 1}, {'start': 68508184, 'end': 68508220, 'strand': 1}, {'start': 68509273, 'end': 68509424, 'strand': 1}, {'start': 68510219, 'end': 68510582, 'strand': 1}, {'start': 68513193, 'end': 68513396, 'strand': 1}, {'start': 68515267, 'end': 68515527, 'strand': 1}]
gb|TNN16962.1|	TNN16962.1	1.0	0.85	1	665	665	665	SKCS01000101.1	EWB00_000074	Schistosoma_japonicum	{'start': 980136, 'end': 994258, 'strand': 2}	14123	[{'start': 994207, 'end': 994258, 'strand': 2}, {'start': 991527, 'end': 991666, 'strand': 2}, {'start': 989532, 'end': 989750, 'strand': 2}, {'start': 988105, 'end': 988431, 'strand': 2}, {'start': 986377, 'end': 986615, 'strand': 2}, {'start': 985493, 'end': 985529, 'strand': 2}, {'start': 983540, 'end': 983694, 'strand': 2}, {'start': 982145, 'end': 982508, 'strand': 2}, {'start': 981732, 'end': 981935, 'strand': 2}, {'start': 980136, 'end': 980396, 'strand': 2}]
emb|CAH8587689.1|	CAH8587689.1	1.0	0.91	1	664	664	665	OX103979.1	STRK1_LOCUS8769	Schistosoma_turkestanicum	{'start': 48798257, 'end': 48811901, 'strand': 1}	13645	[{'start': 48798320, 'end': 48798368, 'strand': 1}, {'start': 48800920, 'end': 48801059, 'strand': 1}, {'start': 48803538, 'end': 48803756, 'strand': 1}, {'start': 48804263, 'end': 48804592, 'strand': 1}, {'start': 48806057, 'end': 48806295, 'strand': 1}, {'start': 48807201, 'end': 48807237, 'strand': 1}, {'start': 48807899, 'end': 48808053, 'strand': 1}, {'start': 48808890, 'end': 48809253, 'strand': 1}, {'start': 48809469, 'end': 48809672, 'strand': 1}, {'start': 48810916, 'end': 48811176, 'strand': 1}]
