hit_id	protein_id	qc	per_ident	sbjct_start	sbjct_end	sbjct_len	query_len	gene_id	locus_tag	org_name	gene_location	gene_len	cds_location
ref|XP_055486318.1|	XP_055486318.1	0.98	0.98	9	656	648	658	NC_000019	nxf1b	Leucoraja_erinaceus	{'start': 58345183, 'end': 58353492, 'strand': 2}	8310	[{'start': 56, 'end': 89, 'strand': 1}, {'start': 166, 'end': 201, 'strand': 1}, {'start': 296, 'end': 565, 'strand': 1}, {'start': 938, 'end': 1210, 'strand': 1}, {'start': 1806, 'end': 2102, 'strand': 1}, {'start': 2842, 'end': 3123, 'strand': 1}, {'start': 5853, 'end': 6140, 'strand': 1}, {'start': 6464, 'end': 6471, 'strand': 1}]
ref|XP_055486320.1|	XP_055486320.1	0.94	0.98	3	623	621	658	NC_000019	nxf1b	Leucoraja_erinaceus	{'start': 58345183, 'end': 58353492, 'strand': 2}	8310	[{'start': 56, 'end': 89, 'strand': 1}, {'start': 166, 'end': 201, 'strand': 1}, {'start': 296, 'end': 565, 'strand': 1}, {'start': 938, 'end': 1210, 'strand': 1}, {'start': 1806, 'end': 2102, 'strand': 1}, {'start': 2842, 'end': 3123, 'strand': 1}, {'start': 5853, 'end': 6140, 'strand': 1}, {'start': 6464, 'end': 6471, 'strand': 1}]
ref|XP_055486319.1|	XP_055486319.1	0.94	0.98	15	631	617	658	NC_000019	nxf1b	Leucoraja_erinaceus	{'start': 58345183, 'end': 58353492, 'strand': 2}	8310	[{'start': 56, 'end': 89, 'strand': 1}, {'start': 166, 'end': 201, 'strand': 1}, {'start': 296, 'end': 565, 'strand': 1}, {'start': 938, 'end': 1210, 'strand': 1}, {'start': 1806, 'end': 2102, 'strand': 1}, {'start': 2842, 'end': 3123, 'strand': 1}, {'start': 5853, 'end': 6140, 'strand': 1}, {'start': 6464, 'end': 6471, 'strand': 1}]
ref|XP_048475743.1|	XP_048475743.1	0.98	0.86	9	654	646	658	NC_000019	nxf1b	Rhincodon_typus	{'start': 58345183, 'end': 58353492, 'strand': 2}	8310	[{'start': 56, 'end': 89, 'strand': 1}, {'start': 166, 'end': 201, 'strand': 1}, {'start': 296, 'end': 565, 'strand': 1}, {'start': 938, 'end': 1210, 'strand': 1}, {'start': 1806, 'end': 2102, 'strand': 1}, {'start': 2842, 'end': 3123, 'strand': 1}, {'start': 5853, 'end': 6140, 'strand': 1}, {'start': 6464, 'end': 6471, 'strand': 1}]
ref|XP_051901084.1|	XP_051901084.1	0.94	0.89	3	623	621	658	NC_067441	LOC127587014	Pristis_pectinata	{'start': 8031827, 'end': 8108978, 'strand': 2}	77152	[{'start': 258, 'end': 285, 'strand': 1}, {'start': 24614, 'end': 24806, 'strand': 1}, {'start': 36867, 'end': 37017, 'strand': 1}, {'start': 38748, 'end': 38831, 'strand': 1}, {'start': 39770, 'end': 39874, 'strand': 1}, {'start': 40891, 'end': 40971, 'strand': 1}, {'start': 44211, 'end': 44280, 'strand': 1}, {'start': 45143, 'end': 45231, 'strand': 1}, {'start': 45960, 'end': 46067, 'strand': 1}, {'start': 47560, 'end': 47668, 'strand': 1}, {'start': 50650, 'end': 50686, 'strand': 1}, {'start': 51848, 'end': 51916, 'strand': 1}, {'start': 53066, 'end': 53124, 'strand': 1}, {'start': 55429, 'end': 55537, 'strand': 1}, {'start': 56783, 'end': 56841, 'strand': 1}, {'start': 64977, 'end': 65092, 'strand': 1}, {'start': 68005, 'end': 68047, 'strand': 1}, {'start': 68156, 'end': 68228, 'strand': 1}, {'start': 68479, 'end': 68661, 'strand': 1}, {'start': 74084, 'end': 74144, 'strand': 1}, {'start': 75098, 'end': 75142, 'strand': 1}]
ref|XP_070724389.1|	XP_070724389.1	0.98	0.84	9	656	648	658	NC_092003	LOC139239496	Pristiophorus_japonicus	{'start': 16156768, 'end': 16249589, 'strand': 1}	92822	[{'start': 232, 'end': 259, 'strand': 1}, {'start': 9194, 'end': 9292, 'strand': 1}, {'start': 28052, 'end': 28247, 'strand': 1}, {'start': 46785, 'end': 46935, 'strand': 1}, {'start': 48483, 'end': 48566, 'strand': 1}, {'start': 52307, 'end': 52411, 'strand': 1}, {'start': 53312, 'end': 53392, 'strand': 1}, {'start': 60157, 'end': 60226, 'strand': 1}, {'start': 62177, 'end': 62265, 'strand': 1}, {'start': 63238, 'end': 63345, 'strand': 1}, {'start': 66338, 'end': 66447, 'strand': 1}, {'start': 69774, 'end': 69810, 'strand': 1}, {'start': 70251, 'end': 70319, 'strand': 1}, {'start': 72764, 'end': 72819, 'strand': 1}, {'start': 75275, 'end': 75382, 'strand': 1}, {'start': 77110, 'end': 77168, 'strand': 1}, {'start': 82656, 'end': 82771, 'strand': 1}, {'start': 83722, 'end': 83764, 'strand': 1}, {'start': 83858, 'end': 83930, 'strand': 1}, {'start': 85330, 'end': 85515, 'strand': 1}, {'start': 90969, 'end': 91029, 'strand': 1}, {'start': 92518, 'end': 92562, 'strand': 1}]
ref|XP_070724388.1|	XP_070724388.1	0.98	0.84	9	657	649	658	NC_092003	LOC139239496	Pristiophorus_japonicus	{'start': 16156768, 'end': 16249589, 'strand': 1}	92822	[{'start': 232, 'end': 259, 'strand': 1}, {'start': 9194, 'end': 9292, 'strand': 1}, {'start': 28052, 'end': 28247, 'strand': 1}, {'start': 46785, 'end': 46935, 'strand': 1}, {'start': 48483, 'end': 48566, 'strand': 1}, {'start': 52307, 'end': 52411, 'strand': 1}, {'start': 53312, 'end': 53392, 'strand': 1}, {'start': 60157, 'end': 60226, 'strand': 1}, {'start': 62177, 'end': 62265, 'strand': 1}, {'start': 63238, 'end': 63345, 'strand': 1}, {'start': 66338, 'end': 66447, 'strand': 1}, {'start': 69774, 'end': 69810, 'strand': 1}, {'start': 70251, 'end': 70319, 'strand': 1}, {'start': 72764, 'end': 72819, 'strand': 1}, {'start': 75275, 'end': 75382, 'strand': 1}, {'start': 77110, 'end': 77168, 'strand': 1}, {'start': 82656, 'end': 82771, 'strand': 1}, {'start': 83722, 'end': 83764, 'strand': 1}, {'start': 83858, 'end': 83930, 'strand': 1}, {'start': 85330, 'end': 85515, 'strand': 1}, {'start': 90969, 'end': 91029, 'strand': 1}, {'start': 92518, 'end': 92562, 'strand': 1}]
ref|XP_048381107.1|	XP_048381107.1	0.98	0.85	9	649	641	658	NC_081395	LOC125449388	Stegostoma_tigrinum	{'start': 11765991, 'end': 11828386, 'strand': 2}	62396	[{'start': 115, 'end': 142, 'strand': 1}, {'start': 16744, 'end': 16939, 'strand': 1}, {'start': 24872, 'end': 25016, 'strand': 1}, {'start': 25993, 'end': 26076, 'strand': 1}, {'start': 30681, 'end': 30785, 'strand': 1}, {'start': 31395, 'end': 31460, 'strand': 1}, {'start': 32646, 'end': 32715, 'strand': 1}, {'start': 33571, 'end': 33659, 'strand': 1}, {'start': 33948, 'end': 34055, 'strand': 1}, {'start': 34313, 'end': 34422, 'strand': 1}, {'start': 37642, 'end': 37678, 'strand': 1}, {'start': 38031, 'end': 38099, 'strand': 1}, {'start': 40710, 'end': 40765, 'strand': 1}, {'start': 43117, 'end': 43224, 'strand': 1}, {'start': 44062, 'end': 44120, 'strand': 1}, {'start': 47055, 'end': 47170, 'strand': 1}, {'start': 52880, 'end': 52922, 'strand': 1}, {'start': 53023, 'end': 53095, 'strand': 1}, {'start': 53459, 'end': 53641, 'strand': 1}, {'start': 59219, 'end': 59279, 'strand': 1}, {'start': 60445, 'end': 60489, 'strand': 1}]
ref|XP_067877589.1|	XP_067877589.1	0.98	0.85	9	654	646	658	NC_000019	nxf1b	Heterodontus_francisci	{'start': 58345183, 'end': 58353492, 'strand': 2}	8310	[{'start': 56, 'end': 89, 'strand': 1}, {'start': 166, 'end': 201, 'strand': 1}, {'start': 296, 'end': 565, 'strand': 1}, {'start': 938, 'end': 1210, 'strand': 1}, {'start': 1806, 'end': 2102, 'strand': 1}, {'start': 2842, 'end': 3123, 'strand': 1}, {'start': 5853, 'end': 6140, 'strand': 1}, {'start': 6464, 'end': 6471, 'strand': 1}]
ref|XP_067831842.1|	XP_067831842.1	0.98	0.84	9	656	648	658	NC_090367	LOC137306482	Heptranchias_perlo	{'start': 8267311, 'end': 8339515, 'strand': 2}	72205	[{'start': 53, 'end': 80, 'strand': 1}, {'start': 20774, 'end': 20969, 'strand': 1}, {'start': 27048, 'end': 27198, 'strand': 1}, {'start': 30316, 'end': 30399, 'strand': 1}, {'start': 31471, 'end': 31575, 'strand': 1}, {'start': 32218, 'end': 32298, 'strand': 1}, {'start': 33702, 'end': 33771, 'strand': 1}, {'start': 35017, 'end': 35105, 'strand': 1}, {'start': 35491, 'end': 35598, 'strand': 1}, {'start': 41709, 'end': 41818, 'strand': 1}, {'start': 45657, 'end': 45693, 'strand': 1}, {'start': 46329, 'end': 46397, 'strand': 1}, {'start': 51010, 'end': 51065, 'strand': 1}, {'start': 53328, 'end': 53435, 'strand': 1}, {'start': 53877, 'end': 53935, 'strand': 1}, {'start': 58219, 'end': 58334, 'strand': 1}, {'start': 59734, 'end': 59776, 'strand': 1}, {'start': 59887, 'end': 59959, 'strand': 1}, {'start': 60356, 'end': 60541, 'strand': 1}, {'start': 64829, 'end': 64889, 'strand': 1}, {'start': 65566, 'end': 65610, 'strand': 1}]
