sub_phylum	org_name_protein_id	org_name	stop_codon_pos	equal_to_cds	cassette_intron_start	intron_length_to_stop_codon	intron_length	first_exon_length	source
Anthozoa	nematostella_vectensis_2	Nematostella_vectensis	1197	False	1172	25	991	116	datasets
Anthozoa	actinia_tenebrosa_1	Actinia_tenebrosa	1152	False	1142	10	173	116	datasets
Nematoda	trichinella_spiralis_3	Trichinella_spiralis	84	False	83	1	417	83	datasets
Nematoda	brugia_malayi_2	Brugia_malayi	1095	False	956	139	243	110	datasets
Nematoda	caenorhabditis_elegans_0	Caenorhabditis_elegans	1089	False	896	193	106	110	datasets
Scalidophora	priapulus_caudatus_0	Priapulus_caudatus	1083	False	1082	1	2114	110	datasets
Chelicerata	varroa_destructor_5	Varroa_destructor	954	False	932	22	3077	110	datasets
Chelicerata	ixodes_scapularis_1	Ixodes_scapularis	1101	False	1100	1	3567	110	datasets
Chelicerata	galendromus_occidentalis_0	Galendromus_occidentalis	870	False	869	1	1491	110	datasets
Chelicerata	limulus_polyphemus_7	Limulus_polyphemus	921	False	920	1	915	110	datasets
Chelicerata	parasteatoda_tepidariorum_2	Parasteatoda_tepidariorum	939	False	938	1	1725	110	datasets
Chelicerata	tetranychus_urticae_6	Tetranychus_urticae	924	False	893	31	648	122	datasets
Chelicerata	varroa_jacobsoni_4	Varroa_jacobsoni	954	False	932	22	3077	110	datasets
Crustacea	amphibalanus_amphitrite_0	Amphibalanus_amphitrite	1173	False	1100	73	369	110	datasets
Crustacea	pollicipes_pollicipes_4	Pollicipes_pollicipes	1440	False	1004	436	367	110	datasets
Crustacea	lepeophtheirus_salmonis_3	Lepeophtheirus_salmonis	999	False	977	22	1555	110	datasets
Crustacea	homarus_americanus_5	Homarus_americanus	807	False	776	31	9821	110	datasets
Polyneoptera	cryptotermes_secundus_0	Cryptotermes_secundus	1047	False	1046	1	4335	110	datasets
Paraneoptera	melanaphis_sacchari_5	Melanaphis_sacchari	1134	False	1037	97	71	107	datasets
Paraneoptera	sipha_flava_1	Sipha_flava	1038	False	1037	1	58	107	datasets
Paraneoptera	pediculus_humanus_corporis_18	Pediculus_humanus_corporis	966	False	947	19	631	110	datasets
Paraneoptera	diuraphis_noxia_12	Diuraphis_noxia	1239	False	1238	1	742	107	datasets
Paraneoptera	acyrthosiphon_pisum_17	Acyrthosiphon_pisum	1071	False	1043	28	68	107	datasets
Paraneoptera	myzus_persicae_10	Myzus_persicae	1167	False	1166	1	772	107	datasets
Paraneoptera	halyomorpha_halys_4	Halyomorpha_halys	1044	False	1043	1	7270	110	datasets
Paraneoptera	rhopalosiphum_maidis_20	Rhopalosiphum_maidis	2385	True	1040	1345	69	107	datasets
Paraneoptera	cimex_lectularius_3	Cimex_lectularius	1074	False	1073	1	4437	110	datasets
Endopterygota	vespa_mandarinia_54	Vespa_mandarinia	1023	False	1022	1	379	113	datasets
Endopterygota	zerene_cesonia_21	Zerene_cesonia	948	False	947	1	1162	110	datasets
Endopterygota	pararge_aegeria_17	Pararge_aegeria	948	False	947	1	2657	110	datasets
Endopterygota	maniola_hyperantus_22	Maniola_hyperantus	951	False	950	1	920	110	datasets
Endopterygota	apis_laboriosa_44	Apis_laboriosa	1023	False	1022	1	1254	113	datasets
Endopterygota	manduca_sexta_8	Manduca_sexta	963	False	962	1	1796	110	datasets
Endopterygota	odontomachus_brunneus_56	Odontomachus_brunneus	1071	False	1061	10	498	113	datasets
Endopterygota	ceratitis_capitata_6	Ceratitis_capitata	1005	False	986	19	2023	110	datasets
Endopterygota	vespula_pensylvanica_14	Vespula_pensylvanica	1035	False	1034	1	363	113	datasets
Endopterygota	megalopta_genalis_12	Megalopta_genalis	1041	False	1040	1	373	113	datasets
Endopterygota	vanessa_tameamea_28	Vanessa_tameamea	945	False	944	1	2352	110	datasets
Endopterygota	bactrocera_dorsalis_5	Bactrocera_dorsalis	1008	False	995	13	1808	110	datasets
Endopterygota	papilio_xuthus_16	Papilio_xuthus	948	False	947	1	999	110	datasets
Endopterygota	cephus_cinctus_57	Cephus_cinctus	1032	False	1031	1	75	113	datasets
Endopterygota	bombus_pyrosoma_47	Bombus_pyrosoma	1035	False	1034	1	244	113	datasets
Endopterygota	papilio_polytes_30	Papilio_polytes	954	False	953	1	1674	110	datasets
Endopterygota	vespa_velutina_40	Vespa_velutina	1023	False	1022	1	377	113	datasets
Endopterygota	ostrinia_furnacalis_27	Ostrinia_furnacalis	963	False	962	1	1946	110	datasets
Endopterygota	cotesia_glomerata_34	Cotesia_glomerata	1071	False	998	73	236	116	datasets
Endopterygota	colletes_gigas_52	Colletes_gigas	1038	False	1037	1	379	113	datasets
Endopterygota	vespa_crabro_33	Vespa_crabro	1023	False	1022	1	381	113	datasets
Endopterygota	venturia_canescens_20	Venturia_canescens	1074	False	1073	1	621	113	datasets
Endopterygota	danaus_plexippus_24	Danaus_plexippus	942	False	941	1	1009	110	datasets
Endopterygota	aethina_tumida_15	Aethina_tumida	1008	False	989	19	1729	110	datasets
Endopterygota	drosophila_melanogaster_0	Drosophila_melanogaster	996	False	983	13	1602	110	datasets
Endopterygota	polistes_fuscatus_49	Polistes_fuscatus	1035	False	1034	1	400	113	datasets
Endopterygota	anoplophora_glabripennis_7	Anoplophora_glabripennis	960	False	938	22	3664	110	datasets
Endopterygota	acromyrmex_echinatior_59	Acromyrmex_echinatior	1062	False	1061	1	438	113	datasets
Endopterygota	orussus_abietinus_39	Orussus_abietinus	1026	False	1025	1	74	113	datasets
Endopterygota	aphidius_gifuensis_42	Aphidius_gifuensis	1011	False	1010	1	240	113	datasets
Endopterygota	leptopilina_heterotoma_31	Leptopilina_heterotoma	1041	False	1040	1	921	113	datasets
Platyhelminthes	schistosoma_haematobium_1	Schistosoma_haematobium	981	False	980	1	652	239	datasets
Bivalvia	magallana_gigas_2	Magallana_gigas	1035	False	1034	1	1537	110	datasets
Bivalvia	mya_arenaria_0	Mya_arenaria	1110	False	1109	1	1727	110	datasets
Bivalvia	crassostrea_virginica_1	Crassostrea_virginica	1110	False	1109	1	1613	110	datasets
Gastropoda	aplysia_californica_2	Aplysia_californica	1068	False	1067	1	4146	221	datasets
Gastropoda	gigantopelta_aegis_1	Gigantopelta_aegis	1050	False	1049	1	1869	110	datasets
Anthozoa	Pocillopora_verrucosa__XP_058954564.2	Pocillopora_verrucosa	1152	False	1118	34	390	116	psi_blast
Anthozoa	Pocillopora_damicornis__XP_027046453.1	Pocillopora_damicornis	1164	False	1118	46	392	116	psi_blast
Anthozoa	Montipora_foliosa__XP_068703613.1	Montipora_foliosa	1155	False	1124	31	907	116	psi_blast
Anthozoa	Pocillopora_meandrina__CAH3043836.1	Pocillopora_meandrina	1164	False	1118	46	392	116	psi_blast
Anthozoa	Acropora_digitifera__XP_015766188.1	Acropora_digitifera	1167	False	1127	40	670	116	psi_blast
Anthozoa	Porites_lutea__XP_073247759.1	Porites_lutea	1173	False	1112	61	711	116	psi_blast
Anthozoa	Acropora_millepora__XP_029179301.2	Acropora_millepora	1167	False	1127	40	682	116	psi_blast
Anthozoa	Porites_evermanni__CAH3016304.1	Porites_evermanni	1263	False	1202	61	711	116	psi_blast
Anthozoa	Acropora_muricata__XP_067039573.1	Acropora_muricata	1167	False	1127	40	679	116	psi_blast
Anthozoa	Exaiptasia_diaphana__KXJ17476.1	Exaiptasia_diaphana	2226	False	2150	76	227	86	psi_blast
Anthozoa	Dendronephthya_gigantea__XP_028398660.1	Dendronephthya_gigantea	1116	False	1106	10	328	116	psi_blast
Anthozoa	Xenia_sp._Carnegie-2017__XP_046848887.1	Xenia_sp._Carnegie-2017	1230	False	1127	103	116	116	psi_blast
Bivalvia	Mercenaria_mercenaria__XP_053373641.1	Mercenaria_mercenaria	1107	False	1106	1	1690	110	psi_blast
Bivalvia	Dreissena_polymorpha__XP_052275796.1	Dreissena_polymorpha	1107	False	1106	1	2207	110	psi_blast
Bivalvia	Ruditapes_philippinarum__XP_060562241.1	Ruditapes_philippinarum	1095	False	1094	1	1646	110	psi_blast
Bivalvia	Mactra_antiquata__KAL4236273.1	Mactra_antiquata	840	False	839	1	2319	110	psi_blast
Bivalvia	Mytilus_coruscus__CAC5418521.1	Mytilus_coruscus	1089	False	1088	1	1234	110	psi_blast
Bivalvia	Potamilus_streckersoni__KAK3583320.1	Potamilus_streckersoni	1071	False	1070	1	4567	110	psi_blast
Bivalvia	Saccostrea_echinata__XP_061162409.1	Saccostrea_echinata	1098	False	1097	1	1556	110	psi_blast
Bivalvia	Mytilus_edulis__XP_071161937.1	Mytilus_edulis	1089	False	1088	1	1360	110	psi_blast
Bivalvia	Mytilus_trossulus__XP_063426764.1	Mytilus_trossulus	1089	False	1088	1	1357	110	psi_blast
Bivalvia	Pecten_maximus__XP_033733776.1	Pecten_maximus	1158	False	1157	1	5000	110	psi_blast
Bivalvia	Ostrea_edulis__XP_048734460.1	Ostrea_edulis	1083	False	1082	1	1643	110	psi_blast
Bivalvia	Mizuhopecten_yessoensis__XP_021375107.1	Mizuhopecten_yessoensis	1140	False	1139	1	4836	110	psi_blast
Bivalvia	Saccostrea_cuccullata__XP_062570242.1	Saccostrea_cuccullata	1107	False	1106	1	1706	110	psi_blast
Bivalvia	Solemya_velum__KAL5008704.1	Solemya_velum	1053	False	1049	4	2071	110	psi_blast
Bivalvia	Ylistrum_balloti__XP_060083561.1	Ylistrum_balloti	1170	False	1169	1	4649	110	psi_blast
Bivalvia	Magallana_angulata__XP_052698089.1	Magallana_angulata	1101	False	1100	1	1534	110	psi_blast
Bivalvia	Argopecten_irradians__XP_069116939.1	Argopecten_irradians	1170	False	1169	1	5057	110	psi_blast
Bivalvia	Mytilus_californianus__XP_052058682.1	Mytilus_californianus	1089	False	1088	1	1248	110	psi_blast
Bivalvia	Pinctada_imbricata__KAK3093491.1	Pinctada_imbricata	1056	False	1055	1	4144	110	psi_blast
Bivalvia	Sinanodonta_woodiana__KAL3874362.1	Sinanodonta_woodiana	1089	False	1088	1	4580	110	psi_blast
Gastropoda	Haliotis_cracherodii__XP_071079091.1	Haliotis_cracherodii	1041	False	1040	1	2506	110	psi_blast
Gastropoda	Haliotis_rufescens__XP_046327842.1	Haliotis_rufescens	1041	False	1040	1	2505	110	psi_blast
Gastropoda	Haliotis_asinina__XP_067680995.1	Haliotis_asinina	1038	False	1037	1	2375	110	psi_blast
Gastropoda	Patella_vulgata__XP_055957145.1	Patella_vulgata	1119	False	1118	1	1384	110	psi_blast
Gastropoda	Patella_caerulea__KAK6181636.1	Patella_caerulea	1092	False	1091	1	1362	110	psi_blast
Gastropoda	Littorina_saxatilis__XP_070180466.1	Littorina_saxatilis	1095	False	1076	19	6746	218	psi_blast
Gastropoda	Batillaria_attramentaria__KAK7466614.1	Batillaria_attramentaria	1005	False	1004	1	8614	110	psi_blast
Gastropoda	Lymnaea_stagnalis__CAL1544423.1	Lymnaea_stagnalis	1074	False	1073	1	2705	221	psi_blast
Gastropoda	Pomacea_canaliculata__PVD26032.1	Pomacea_canaliculata	471	False	470	1	255	56	psi_blast
Gastropoda	Bradybaena_similaris__BFZ07487.1	Bradybaena_similaris	1020	False	1019	1	3811	221	psi_blast
Gastropoda	Elysia_crispata__KAK3787234.1	Elysia_crispata	1041	False	1040	1	8063	221	psi_blast
Gastropoda	Elysia_chlorotica__RUS69005.1	Elysia_chlorotica	1038	False	1037	1	7182	221	psi_blast
Gastropoda	Bulinus_truncatus__KAH9514235.1	Bulinus_truncatus	1131	False	1130	1	1873	221	psi_blast
Gastropoda	Biomphalaria_pfeifferi__KAK0057013.1	Biomphalaria_pfeifferi	1020	False	1019	1	1885	221	psi_blast
Gastropoda	Biomphalaria_glabrata__XP_055880572.1	Biomphalaria_glabrata	987	False	986	1	1889	221	psi_blast
Nematoda	Caenorhabditis_nigoni__PIC28742.1	Caenorhabditis_nigoni	1140	False	926	214	142	110	psi_blast
Nematoda	Caenorhabditis_briggsae__UMM37086.1	Caenorhabditis_briggsae	1143	False	926	217	145	110	psi_blast
Nematoda	Caenorhabditis_brenneri__EGT34035.1	Caenorhabditis_brenneri	1095	False	920	175	130	110	psi_blast
Nematoda	Caenorhabditis_sp._36_PRJEB53466__CAI2353387.1	Caenorhabditis_sp._36_PRJEB53466	1134	False	929	205	133	110	psi_blast
Nematoda	Caenorhabditis_angaria__CAI5450371.1	Caenorhabditis_angaria	993	False	914	79	96	110	psi_blast
Nematoda	Caenorhabditis_bovis__CAB3397759.1	Caenorhabditis_bovis	1236	False	920	316	235	110	psi_blast
Nematoda	Caenorhabditis_auriculariae__CAD6196466.1	Caenorhabditis_auriculariae	1047	False	902	145	156	110	psi_blast
Nematoda	Necator_americanus__ETN84757.1	Necator_americanus	1050	False	914	136	243	110	psi_blast
Nematoda	Nippostrongylus_brasiliensis__WKY10434.1	Nippostrongylus_brasiliensis	1164	False	848	316	235	110	psi_blast
Nematoda	Cooperia_oncophora__KAK6057753.1	Cooperia_oncophora	1122	False	917	205	215	110	psi_blast
Nematoda	Haemonchus_contortus__XGW01889.1	Haemonchus_contortus	1362	False	1058	304	220	110	psi_blast
Nematoda	Trichostrongylus_colubriformis__KAK5986502.1	Trichostrongylus_colubriformis	975	False	761	214	224	110	psi_blast
Nematoda	Dictyocaulus_viviparus__KJH48527.1	Dictyocaulus_viviparus	1104	False	914	190	832	110	psi_blast
Nematoda	Cylicocyclus_nassatus__CAJ0591432.1	Cylicocyclus_nassatus	5622	False	5393	229	239	110	psi_blast
Nematoda	Angiostrongylus_cantonensis__KAE9413040.1	Angiostrongylus_cantonensis	1179	False	998	181	213	110	psi_blast
Nematoda	Auanema_sp._JU1783__CAI4222995.1	Auanema_sp._JU1783	1050	False	905	145	80	110	psi_blast
Nematoda	Diploscapter_pachys__PAV87020.1	Diploscapter_pachys	948	False	938	10	662	110	psi_blast
Nematoda	Parelaphostrongylus_tenuis__KAJ1348740.1	Parelaphostrongylus_tenuis	1161	False	1049	112	228	110	psi_blast
Nematoda	Mesorhabditis_belari__CAJ0960930.1	Mesorhabditis_belari	1074	False	977	97	147	110	psi_blast
