sub_phylum	org_name	org_name_protein_id	stop_codon_pos	equal_to_cds	cassette_intron_start	intron_length_to_stop_codon	intron_length	first_exon_length	source
Platyhelminthes	Schistosoma_guineensis	Schistosoma_guineensis__CAH8656942.1	981	False	980	1	652	239	psi_blast
Platyhelminthes	Schistosoma_curassoni	Schistosoma_curassoni__CAH8663826.1	981	False	980	1	652	239	psi_blast
Platyhelminthes	Schistosoma_bovis	Schistosoma_bovis__CAH8671530.1	981	False	980	1	652	239	psi_blast
Platyhelminthes	Schistosoma_margrebowiei	Schistosoma_margrebowiei__CAH8667553.1	981	False	980	1	650	239	psi_blast
Platyhelminthes	Schistosoma_intercalatum	Schistosoma_intercalatum__CAH8646207.1	981	False	980	1	652	239	psi_blast
Platyhelminthes	Schistosoma_rodhaini	Schistosoma_rodhaini__CAH8677847.1	981	False	980	1	671	239	psi_blast
Platyhelminthes	Schistosoma_japonicum	Schistosoma_japonicum__TNN16962.1	978	False	977	1	847	239	psi_blast
Platyhelminthes	Schistosoma_turkestanicum	Schistosoma_turkestanicum__CAH8587689.1	978	False	977	1	905	239	psi_blast
Platyhelminthes	Paragonimus_westermani	Paragonimus_westermani__KAF8560478.1	993	False	992	1	13971	239	psi_blast
Platyhelminthes	Taenia_crassiceps	Taenia_crassiceps__KAL5103217.1	981	False	980	1	278	242	psi_blast
Platyhelminthes	Taenia_asiatica	Taenia_asiatica__VDK36317.1	981	False	980	1	480	242	psi_blast
Platyhelminthes	Heterobilharzia_americana	Heterobilharzia_americana__CAH8668306.1	984	False	983	1	2163	239	psi_blast
Platyhelminthes	Trichobilharzia_szidati	Trichobilharzia_szidati__CAH8873329.1	984	False	983	1	1336	239	psi_blast
Platyhelminthes	Trichobilharzia_regenti	Trichobilharzia_regenti__CAH8873916.1	987	False	986	1	996	239	psi_blast
Platyhelminthes	Opisthorchis_felineus	Opisthorchis_felineus__TGZ61943.1	1002	False	1001	1	14603	242	psi_blast
Platyhelminthes	Clonorchis_sinensis	Clonorchis_sinensis__KAG5452905.1	1002	False	1001	1	6006	242	psi_blast
Platyhelminthes	Hydatigera_taeniaeformis	Hydatigera_taeniaeformis__VDM30842.1	981	False	980	1	375	242	psi_blast
Platyhelminthes	Taenia_solium	Taenia_solium__KAL5964507.1	981	False	980	1	480	242	psi_blast
Platyhelminthes	Echinococcus_granulosus	Echinococcus_granulosus__KAH9278732.1	981	False	980	1	521	242	psi_blast
Platyhelminthes	Rodentolepis_nana	Rodentolepis_nana__VDO00049.1	978	False	977	1	222	242	psi_blast
Platyhelminthes	Calicophoron_daubneyi	Calicophoron_daubneyi__CAL8082644.1	996	False	995	1	4214	239	psi_blast
Platyhelminthes	Fasciola_hepatica	Fasciola_hepatica__THD23260.1	993	False	992	1	2631	239	psi_blast
Platyhelminthes	Fasciola_gigantica	Fasciola_gigantica__TPP56747.1	993	False	992	1	2581	239	psi_blast
Platyhelminthes	Fasciolopsis_buskii	Fasciolopsis_buskii__KAA0189091.1	1002	False	1001	1	1303	239	psi_blast
Platyhelminthes	Schistosoma_mattheei	Schistosoma_mattheei__CAH8638585.1	981	False	980	1	649	239	psi_blast
Platyhelminthes	Hymenolepis_diminuta	Hymenolepis_diminuta__VDL53678.1	936	False	935	1	224	242	psi_blast
Platyhelminthes	Paragonimus_heterotremus	Paragonimus_heterotremus__KAF5398418.1	993	False	992	1	18219	239	psi_blast
Platyhelminthes	Dicrocoelium_dendriticum	Dicrocoelium_dendriticum__CAH8593583.1	627	False	626	1	2612	239	psi_blast
